算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,目标值,下界,Gap,迭代次数,总求解时间(s),拒绝订单个数
LBBD3.py,30-3-6-a0.1-i1.json,30,3,6,0.1,1,6849,5944,0.132136078,119,301.386,22
LBBD3.py,30-3-6-a0.1-i2.json,30,3,6,0.1,2,7048,6404,0.091373439,110,302.769,23
LBBD3.py,30-3-6-a0.1-i3.json,30,3,6,0.1,3,6169,5378,0.128221,168,301,21
LBBD3.py,30-3-6-a1-i1.json,30,3,6,1,1,6737,5947,0.117262877,119,301.409,23
LBBD3.py,30-3-6-a1-i2.json,30,3,6,1,2,6642,6404,0.035832581,114,302.426,20
LBBD3.py,30-3-6-a1-i3.json,30,3,6,1,3,6258,5397,0.137583893,148,301.971,22
LBBD3.py,30-3-6-a10-i1.json,30,3,6,10,1,6086,5866,0.036148538,114,303.848,17
LBBD3.py,30-3-6-a10-i2.json,30,3,6,10,2,6213,6213,0,40,59.627,14
LBBD3.py,30-3-6-a10-i3.json,30,3,6,10,3,5226,5226,0,6,3.559,15
LBBD3.py,30-3-6-a100-i1.json,30,3,6,100,1,5747,5747,0,1,0.364,12
LBBD3.py,30-3-6-a100-i2.json,30,3,6,100,2,6141,6141,0,1,0.321,13
LBBD3.py,30-3-6-a100-i3.json,30,3,6,100,3,5218,5218,0,1,0.327,14
LBBD3.py,30-3-7-a0.1-i1.json,30,3,7,0.1,1,6281,5536,0.118611686,130,300.841,22
LBBD3.py,30-3-7-a0.1-i2.json,30,3,7,0.1,2,6517,6225,0.044805892,142,300.501,20
LBBD3.py,30-3-7-a0.1-i3.json,30,3,7,0.1,3,6267,5140,0.17983086,118,306.394,23
LBBD3.py,30-3-7-a1-i1.json,30,3,7,1,1,6552,5572,0.14957265,109,303.008,24
LBBD3.py,30-3-7-a1-i2.json,30,3,7,1,2,6969,6242,0.104319128,117,304.219,23
LBBD3.py,30-3-7-a1-i3.json,30,3,7,1,3,6575,5141,0.218098859,132,304.607,23
LBBD3.py,30-3-7-a10-i1.json,30,3,7,10,1,5436,5436,0,155,153.464,15
LBBD3.py,30-3-7-a10-i2.json,30,3,7,10,2,6043,6043,0,28,20.817,12
LBBD3.py,30-3-7-a10-i3.json,30,3,7,10,3,5675,5103,0.100792952,158,300.508,18
LBBD3.py,30-3-7-a100-i1.json,30,3,7,100,1,5184,5184,0,1,0.279,14
LBBD3.py,30-3-7-a100-i2.json,30,3,7,100,2,5944,5944,0,1,0.282,14
LBBD3.py,30-3-7-a100-i3.json,30,3,7,100,3,4827,4827,0,1,0.301,13
LBBD3.py,30-3-8-a0.1-i1.json,30,3,8,0.1,1,6027,5802,0.037332006,107,301.185,18
LBBD3.py,30-3-8-a0.1-i2.json,30,3,8,0.1,2,7063,6332,0.103497098,128,302.484,22
LBBD3.py,30-3-8-a0.1-i3.json,30,3,8,0.1,3,6010,5386,0.103826955,96,300.638,21
LBBD3.py,30-3-8-a1-i1.json,30,3,8,1,1,6618,5843,0.117104866,98,300.817,21
LBBD3.py,30-3-8-a1-i2.json,30,3,8,1,2,7336,6371,0.131543075,97,305.587,22
LBBD3.py,30-3-8-a1-i3.json,30,3,8,1,3,5903,5387,0.08741318,102,301.393,20
LBBD3.py,30-3-8-a10-i1.json,30,3,8,10,1,5704,5704,0,28,56.369,13
LBBD3.py,30-3-8-a10-i2.json,30,3,8,10,2,6203,6203,0,189,199.135,15
LBBD3.py,30-3-8-a10-i3.json,30,3,8,10,3,5276,5276,0,19,33.596,16
LBBD3.py,30-3-8-a100-i1.json,30,3,8,100,1,5627,5627,0,1,1.271,12
LBBD3.py,30-3-8-a100-i2.json,30,3,8,100,2,6037,6037,0,1,0.296,15
LBBD3.py,30-3-8-a100-i3.json,30,3,8,100,3,5197,5197,0,1,0.303,15
LBBD3.py,30-4-6-a0.1-i1.json,30,4,6,0.1,1,5841,5680,0.027563773,150,301.614,18
LBBD3.py,30-4-6-a0.1-i2.json,30,4,6,0.1,2,5595,4863,0.130831,84,301.68,20
LBBD3.py,30-4-6-a0.1-i3.json,30,4,6,0.1,3,5595,4888,0.126362824,112,302.647,20
LBBD3.py,30-4-6-a1-i1.json,30,4,6,1,1,5836,5680,0.026730637,152,300.667,18
LBBD3.py,30-4-6-a1-i2.json,30,4,6,1,2,7332,6553,0.10624659,134,301.22,20
LBBD3.py,30-4-6-a1-i3.json,30,4,6,1,3,5505,4889,0.111898274,109,302.003,20
LBBD3.py,30-4-6-a10-i1.json,30,4,6,10,1,5556,5556,0,13,12.066,14
LBBD3.py,30-4-6-a10-i2.json,30,4,6,10,2,6468,6468,0,108,112.47,10
LBBD3.py,30-4-6-a10-i3.json,30,4,6,10,3,4691,4691,0,19,22.199,15
LBBD3.py,30-4-6-a100-i1.json,30,4,6,100,1,5526,5526,0,1,0.392,14
LBBD3.py,30-4-6-a100-i2.json,30,4,6,100,2,6402,6402,0,1,0.389,10
LBBD3.py,30-4-6-a100-i3.json,30,4,6,100,3,4603,4603,0,1,1.223,12
LBBD3.py,30-4-7-a0.1-i1.json,30,4,7,0.1,1,5621,5413,0.037004092,123,301.74,17
LBBD3.py,30-4-7-a0.1-i2.json,30,4,7,0.1,2,7501,6148,0.18037595,91,300.256,23
LBBD3.py,30-4-7-a0.1-i3.json,30,4,7,0.1,3,5068,4844,0.044198895,194,302.48,18
LBBD3.py,30-4-7-a1-i1.json,30,4,7,1,1,6073,5427,0.106372468,111,302.257,20
LBBD3.py,30-4-7-a1-i2.json,30,4,7,1,2,7284,6139,0.15719385,91,304.744,21
LBBD3.py,30-4-7-a1-i3.json,30,4,7,1,3,5207,4854,0.067793355,168,300.957,19
LBBD3.py,30-4-7-a10-i1.json,30,4,7,10,1,5238,5238,0,55,53.185,15
LBBD3.py,30-4-7-a10-i2.json,30,4,7,10,2,5968,5968,0,8,5.453,9
LBBD3.py,30-4-7-a10-i3.json,30,4,7,10,3,4760,4760,0,103,95.066,15
LBBD3.py,30-4-7-a100-i1.json,30,4,7,100,1,5132,5132,0,1,0.344,15
LBBD3.py,30-4-7-a100-i2.json,30,4,7,100,2,5947,5947,0,1,0.836,8
LBBD3.py,30-4-7-a100-i3.json,30,4,7,100,3,4688,4688,0,1,0.342,15
LBBD3.py,30-4-8-a0.1-i1.json,30,4,8,0.1,1,6248,5430,0.130921895,158,300.663,21
LBBD3.py,30-4-8-a0.1-i2.json,30,4,8,0.1,2,6137,5850,0.046765521,41,302.653,18
LBBD3.py,30-4-8-a0.1-i3.json,30,4,8,0.1,3,5171,4941,0.044478824,156,301.157,19
LBBD3.py,30-4-8-a1-i1.json,30,4,8,1,1,6025,5458,0.094107884,153,300.507,21
LBBD3.py,30-4-8-a1-i2.json,30,4,8,1,2,6053,5798,0.04212787,42,306.069,17
LBBD3.py,30-4-8-a1-i3.json,30,4,8,1,3,5559,4956,0.108472747,131,302.538,22
LBBD3.py,30-4-8-a10-i1.json,30,4,8,10,1,5252,5252,0,5,2.244,14
LBBD3.py,30-4-8-a10-i2.json,30,4,8,10,2,5882,5733,0.02533152,46,311.505,14
LBBD3.py,30-4-8-a10-i3.json,30,4,8,10,3,4849,4849,0,163,190.342,15
LBBD3.py,30-4-8-a100-i1.json,30,4,8,100,1,5225,5225,0,1,0.358,15
LBBD3.py,30-4-8-a100-i2.json,30,4,8,100,2,5643,5643,0,1,1.877,9
LBBD3.py,30-4-8-a100-i3.json,30,4,8,100,3,4744,4744,0,1,0.415,15
LBBD3.py,30-5-6-a0.1-i1.json,30,5,6,0.1,1,5963,5303,0.110682542,104,303.099,20
LBBD3.py,30-5-6-a0.1-i2.json,30,5,6,0.1,2,6471,5876,0.091948694,91,304.267,20
LBBD3.py,30-5-6-a0.1-i3.json,30,5,6,0.1,3,5465,5000,0.085086917,141,301.385,19
LBBD3.py,30-5-6-a1-i1.json,30,5,6,1,1,5738,5298,0.076681771,118,304.002,19
LBBD3.py,30-5-6-a1-i2.json,30,5,6,1,2,6323,5852,0.074489957,129,301.236,20
LBBD3.py,30-5-6-a1-i3.json,30,5,6,1,3,5249,5012,0.045151457,126,302.215,18
LBBD3.py,30-5-6-a10-i1.json,30,5,6,10,1,5116,5116,0,21,12.73,15
LBBD3.py,30-5-6-a10-i2.json,30,5,6,10,2,5701,5701,0,40,37.62,12
LBBD3.py,30-5-6-a10-i3.json,30,5,6,10,3,4986,4976,0.002005616,194,301.371,15
LBBD3.py,30-5-6-a100-i1.json,30,5,6,100,1,5048,5048,0,1,0.4,12
LBBD3.py,30-5-6-a100-i2.json,30,5,6,100,2,5638,5638,0,1,0.392,12
LBBD3.py,30-5-6-a100-i3.json,30,5,6,100,3,4842,4842,0,1,0.411,13
LBBD3.py,30-5-7-a0.1-i1.json,30,5,7,0.1,1,5643,5217,0.07549176,107,300.971,17
LBBD3.py,30-5-7-a0.1-i2.json,30,5,7,0.1,2,5916,5779,0.023157539,136,301.889,17
LBBD3.py,30-5-7-a0.1-i3.json,30,5,7,0.1,3,4595,4580,0.003264418,147,300.724,16
LBBD3.py,30-5-7-a1-i1.json,30,5,7,1,1,5832,5266,0.097050754,81,302.054,21
LBBD3.py,30-5-7-a1-i2.json,30,5,7,1,2,6211,5790,0.067782966,104,303.408,20
LBBD3.py,30-5-7-a1-i3.json,30,5,7,1,3,5169,4615,0.107177,102,303.11,19
LBBD3.py,30-5-7-a10-i1.json,30,5,7,10,1,5145,5145,0,65,113.992,12
LBBD3.py,30-5-7-a10-i2.json,30,5,7,10,2,5581,5581,0,3,1.425,13
LBBD3.py,30-5-7-a10-i3.json,30,5,7,10,3,4960,4521,0.088508065,204,301.834,18
LBBD3.py,30-5-7-a100-i1.json,30,5,7,100,1,5019,5019,0,1,1.265,11
LBBD3.py,30-5-7-a100-i2.json,30,5,7,100,2,5563,5563,0,1,0.429,13
LBBD3.py,30-5-7-a100-i3.json,30,5,7,100,3,4342,4342,0,1,0.41,15
LBBD3.py,30-5-8-a0.1-i1.json,30,5,8,0.1,1,5571,5186,0.06910788,112,300.284,18
LBBD3.py,30-5-8-a0.1-i2.json,30,5,8,0.1,2,5854,5491,0.062008883,129,302.364,18
LBBD3.py,30-5-8-a0.1-i3.json,30,5,8,0.1,3,5169,4852,0.061327143,138,304.206,20
LBBD3.py,30-5-8-a1-i1.json,30,5,8,1,1,5806,5214,0.101963486,97,304.205,19
LBBD3.py,30-5-8-a1-i2.json,30,5,8,1,2,6387,5477,0.142476906,101,302.834,21
LBBD3.py,30-5-8-a1-i3.json,30,5,8,1,3,5015,4819,0.039082752,142,301.083,19
LBBD3.py,30-5-8-a10-i1.json,30,5,8,10,1,4978,4978,0,2,1.069,12
LBBD3.py,30-5-8-a10-i2.json,30,5,8,10,2,5336,5336,0,7,3.503,12
LBBD3.py,30-5-8-a10-i3.json,30,5,8,10,3,4639,4639,0,23,11.89,16
LBBD3.py,30-5-8-a100-i1.json,30,5,8,100,1,4976,4976,0,1,0.46,12
