算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,状态,目标值,下界,Gap,总求解时间(s),日志路径,可行
VNS,30-3-6-a0.1-i1.json,30,3,6,0.1,1,VNS,7419.0,无,无,299.099,,错误
VNS,30-3-6-a0.1-i2.json,30,3,6,0.1,2,VNS,7542.0,无,无,299.031,,True
VNS,30-3-6-a0.1-i3.json,30,3,6,0.1,3,VNS,6726.0,无,无,299.029,,True
VNS,30-3-6-a1-i1.json,30,3,6,1.0,1,VNS,7455.0,无,无,299.026,,True
VNS,30-3-6-a1-i2.json,30,3,6,1.0,2,VNS,7749.0,无,无,299.023,,True
VNS,30-3-6-a1-i3.json,30,3,6,1.0,3,VNS,6808.0,无,无,299.018,,True
VNS,30-3-6-a10-i1.json,30,3,6,10.0,1,VNS,7320.0,无,无,299.028,,错误
VNS,30-3-6-a10-i2.json,30,3,6,10.0,2,VNS,7595.0,无,无,299.024,,True
VNS,30-3-6-a10-i3.json,30,3,6,10.0,3,VNS,6869.0,无,无,299.021,,True
VNS,30-3-6-a100-i1.json,30,3,6,100.0,1,VNS,6918.0,无,无,299.032,,True
VNS,30-3-6-a100-i2.json,30,3,6,100.0,2,VNS,7391.0,无,无,299.013,,错误
VNS,30-3-6-a100-i3.json,30,3,6,100.0,3,VNS,6720.0,无,无,299.014,,错误
VNS,30-3-7-a0.1-i1.json,30,3,7,0.1,1,VNS,7365.0,无,无,299.037,,True
VNS,30-3-7-a0.1-i2.json,30,3,7,0.1,2,VNS,7494.0,无,无,299.091,,错误
VNS,30-3-7-a0.1-i3.json,30,3,7,0.1,3,VNS,7028.0,无,无,299.034,,True
VNS,30-3-7-a1-i1.json,30,3,7,1.0,1,VNS,7065.0,无,无,299.017,,True
VNS,30-3-7-a1-i2.json,30,3,7,1.0,2,VNS,7733.0,无,无,299.025,,True
VNS,30-3-7-a1-i3.json,30,3,7,1.0,3,VNS,7028.0,无,无,299.032,,True
VNS,30-3-7-a10-i1.json,30,3,7,10.0,1,VNS,6792.0,无,无,299.036,,True
VNS,30-3-7-a10-i2.json,30,3,7,10.0,2,VNS,7402.0,无,无,299.042,,True
VNS,30-3-7-a10-i3.json,30,3,7,10.0,3,VNS,6881.0,无,无,301.87,,True
VNS,30-3-7-a100-i1.json,30,3,7,100.0,1,VNS,6284.0,无,无,299.035,,True
VNS,30-3-7-a100-i2.json,30,3,7,100.0,2,VNS,7402.0,无,无,299.033,,True
VNS,30-3-7-a100-i3.json,30,3,7,100.0,3,VNS,6992.0,无,无,299.038,,True
VNS,30-3-8-a0.1-i1.json,30,3,8,0.1,1,VNS,7041.0,无,无,299.033,,True
VNS,30-3-8-a0.1-i2.json,30,3,8,0.1,2,VNS,7777.0,无,无,299.013,,错误
VNS,30-3-8-a0.1-i3.json,30,3,8,0.1,3,VNS,6955.0,无,无,299.04,,True
VNS,30-3-8-a1-i1.json,30,3,8,1.0,1,VNS,7457.0,无,无,299.048,,错误
VNS,30-3-8-a1-i2.json,30,3,8,1.0,2,VNS,7814.0,无,无,299.024,,True
VNS,30-3-8-a1-i3.json,30,3,8,1.0,3,VNS,6955.0,无,无,299.038,,True
VNS,30-3-8-a10-i1.json,30,3,8,10.0,1,VNS,6986.0,无,无,299.041,,True
VNS,30-3-8-a10-i2.json,30,3,8,10.0,2,VNS,7609.0,无,无,299.037,,True
VNS,30-3-8-a10-i3.json,30,3,8,10.0,3,VNS,6702.0,无,无,299.034,,True
VNS,30-3-8-a100-i1.json,30,3,8,100.0,1,VNS,7223.0,无,无,299.028,,True
VNS,30-3-8-a100-i2.json,30,3,8,100.0,2,VNS,7609.0,无,无,299.032,,True
VNS,30-3-8-a100-i3.json,30,3,8,100.0,3,VNS,6702.0,无,无,299.012,,True
VNS,30-4-6-a0.1-i1.json,30,4,6,0.1,1,VNS,6887.0,无,无,299.021,,True
