算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,目标值,下界,Gap,迭代次数,总求解时间(s),主问题时间(s),子问题阶段1时间(s),子问题阶段2时间(s),拒绝订单个数
LBBD3.py,30-3-6-a0.1-i1.json,30,3,6,0.1,1,6849,5987,0.125857789458315,250,1809.903,1557.267,95.784,156.613,22
LBBD3.py,30-3-6-a0.1-i2.json,30,3,6,0.1,2,6976,6446,0.0759747706422018,235,1805.602,1637.664,56.26,111.388,23
LBBD3.py,30-3-6-a0.1-i3.json,30,3,6,0.1,3,5957,5429,0.0886352190700016,366,1807.205,1487.468,140.471,178.93,19
LBBD3.py,30-3-6-a1-i1.json,30,3,6,1,1,6596,5990,0.0918738629472407,262,1814.257,1564.247,100.724,149.03,22
LBBD3.py,30-3-6-a1-i2.json,30,3,6,1,2,6642,6439,0.0305630834086118,231,1801.456,1658.319,53.327,89.556,20
LBBD3.py,30-3-6-a1-i3.json,30,3,6,1,3,5965,5451,0.0861693210393964,319,1805.157,1483.577,129.761,191.527,21
LBBD3.py,30-3-6-a10-i1.json,30,3,6,10,1,6063,5910,0.0252350321622958,373,1806.145,1108.367,223.704,473.805,16
LBBD3.py,30-3-6-a10-i2.json,30,3,6,10,2,6213,6213,0,40,41.629,7.534,20.348,13.643,14
LBBD3.py,30-3-6-a10-i3.json,30,3,6,10,3,5226,5226,0,6,2.954,0.533,1.356,0.98,15
LBBD3.py,30-3-6-a100-i1.json,30,3,6,100,1,5747,5747,0,1,0.344,0.071,0.197,0,12
LBBD3.py,30-3-6-a100-i2.json,30,3,6,100,2,6141,6141,0,1,0.395,0.08,0.241,0,13
LBBD3.py,30-3-6-a100-i3.json,30,3,6,100,3,5218,5218,0,1,0.341,0.074,0.192,0,14
LBBD3.py,30-3-7-a0.1-i1.json,30,3,7,0.1,1,6281,5597,0.108899856710714,259,1803.255,1584.512,74.411,144.063,22
LBBD3.py,30-3-7-a0.1-i2.json,30,3,7,0.1,2,6517,6263,0.0389749884916372,278,1809.04,1606.879,75.789,126.088,20
LBBD3.py,30-3-7-a0.1-i3.json,30,3,7,0.1,3,6267,5190,0.171852561033987,256,1806.979,1478.234,113.78,214.584,23
LBBD3.py,30-3-7-a1-i1.json,30,3,7,1,1,6552,5631,0.140567765567765,201,1814.284,1633.684,51.122,129.232,24
LBBD3.py,30-3-7-a1-i2.json,30,3,7,1,2,6969,6286,0.0980054527191849,207,1806.877,1643.758,46.389,116.492,23
LBBD3.py,30-3-7-a1-i3.json,30,3,7,1,3,6575,5181,0.212015209125475,259,1803.04,1485.952,114.216,202.605,23
LBBD3.py,30-3-7-a10-i1.json,30,3,7,10,1,5436,5436,0,155,208.681,130.134,42.339,36.009,15
LBBD3.py,30-3-7-a10-i2.json,30,3,7,10,2,6043,6043,0,27,15.256,4.439,5.469,5.237,12
