算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,目标值,下界,Gap,迭代次数,总求解时间(s),主问题时间(s),子问题阶段1时间(s),子问题阶段2时间(s),拒绝订单个数
LBBD1_BCH.py,5-2-3-a0.1-i1.json,5,2,3,0.1,1,1200.0,1199.9999999999986,1.1368683772161603e-15,5,0.749,0.001,0.27,0.216,3
LBBD1_BCH.py,5-2-3-a0.1-i2.json,5,2,3,0.1,2,1146.0,1146.0,0.0,4,0.186,0.001,0.089,0.086,3
LBBD1_BCH.py,5-2-3-a0.1-i3.json,5,2,3,0.1,3,1214.0,1214.0,0.0,4,0.25,0.001,0.13,0.111,3
LBBD1_BCH.py,5-2-3-a1-i1.json,5,2,3,1.0,1,1200.0,1199.9999999999986,1.1368683772161603e-15,5,0.832,0.0,0.277,0.215,3
LBBD1_BCH.py,5-2-3-a1-i2.json,5,2,3,1.0,2,1173.0,1172.9999999999995,3.8767890101147836e-16,4,0.313,0.0,0.105,0.093,4
LBBD1_BCH.py,5-2-3-a1-i3.json,5,2,3,1.0,3,1206.0,1206.0,0.0,4,0.256,0.0,0.129,0.109,3
LBBD1_BCH.py,5-2-3-a10-i1.json,5,2,3,10.0,1,1122.0,1122.0,0.0,4,0.339,0.0,0.185,0.145,2
LBBD1_BCH.py,5-2-3-a10-i2.json,5,2,3,10.0,2,1151.0,1151.0,0.0,4,0.166,0.0,0.082,0.072,3
LBBD1_BCH.py,5-2-3-a10-i3.json,5,2,3,10.0,3,1214.0,1214.0,0.0,4,0.247,0.001,0.128,0.11,3
LBBD1_BCH.py,5-2-3-a100-i1.json,5,2,3,100.0,1,1122.0,1122.0,0.0,4,0.383,0.0,0.208,0.16,2
LBBD1_BCH.py,5-2-3-a100-i2.json,5,2,3,100.0,2,1141.0,1141.0,0.0,4,0.219,0.0,0.098,0.108,3
LBBD1_BCH.py,5-2-3-a100-i3.json,5,2,3,100.0,3,1199.0,1199.0,0.0,4,0.419,0.001,0.206,0.189,3
LBBD1_BCH.py,5-2-4-a0.1-i1.json,5,2,4,0.1,1,1318.0,1318.0,0.0,10,2.382,0.0,0.818,0.613,2
LBBD1_BCH.py,5-2-4-a0.1-i2.json,5,2,4,0.1,2,1053.0,1053.0,0.0,10,2.191,0.002,0.515,0.442,2
LBBD1_BCH.py,5-2-4-a0.1-i3.json,5,2,4,0.1,3,1134.0,1134.0,0.0,6,0.794,0.001,0.22,0.169,4
LBBD1_BCH.py,5-2-4-a1-i1.json,5,2,4,1.0,1,1376.0,1376.0,0.0,12,2.848,0.0,0.803,0.63,3
LBBD1_BCH.py,5-2-4-a1-i2.json,5,2,4,1.0,2,1144.0,1144.0,0.0,11,2.127,0.004,0.632,0.506,3
LBBD1_BCH.py,5-2-4-a1-i3.json,5,2,4,1.0,3,1059.0,1058.9999999999986,1.2882361214913998e-15,3,0.107,0.0,0.047,0.047,3
LBBD1_BCH.py,5-2-4-a10-i1.json,5,2,4,10.0,1,1279.0,1279.0,0.0,3,0.113,0.001,0.05,0.048,2
LBBD1_BCH.py,5-2-4-a10-i2.json,5,2,4,10.0,2,1000.0,1000.0,0.0,3,0.22,0.0,0.099,0.109,1
LBBD1_BCH.py,5-2-4-a10-i3.json,5,2,4,10.0,3,1058.0,1057.9999999999986,1.2894537359729607e-15,3,0.123,0.0,0.051,0.049,3
LBBD1_BCH.py,5-2-4-a100-i1.json,5,2,4,100.0,1,1279.0,1279.0,0.0,3,0.109,0.0,0.048,0.05,2
LBBD1_BCH.py,5-2-4-a100-i2.json,5,2,4,100.0,2,1000.0,1000.0,0.0,3,0.192,0.001,0.097,0.086,1
LBBD1_BCH.py,5-2-4-a100-i3.json,5,2,4,100.0,3,1049.0,1048.9999999999986,1.3005167327544255e-15,3,0.109,0.001,0.049,0.045,3
LBBD1_BCH.py,5-2-5-a0.1-i1.json,5,2,5,0.1,1,1217.0,1217.0,0.0,4,0.404,0.001,0.202,0.178,1
LBBD1_BCH.py,5-2-5-a0.1-i2.json,5,2,5,0.1,2,1073.0,1073.0,0.0,8,1.537,0.001,0.529,0.421,3
LBBD1_BCH.py,5-2-5-a0.1-i3.json,5,2,5,0.1,3,1043.0,1043.0,0.0,4,0.3,0.001,0.15,0.136,1
LBBD1_BCH.py,5-2-5-a1-i1.json,5,2,5,1.0,1,1217.0,1217.0,0.0,4,0.366,0.0,0.19,0.154,1
LBBD1_BCH.py,5-2-5-a1-i2.json,5,2,5,1.0,2,1052.0,1052.0,0.0,3,0.206,0.0,0.101,0.092,2
LBBD1_BCH.py,5-2-5-a1-i3.json,5,2,5,1.0,3,1043.0,1043.0,0.0,4,0.272,0.0,0.136,0.122,1
LBBD1_BCH.py,5-2-5-a10-i1.json,5,2,5,10.0,1,1217.0,1217.0,0.0,4,0.347,0.001,0.177,0.158,1
LBBD1_BCH.py,5-2-5-a10-i2.json,5,2,5,10.0,2,1052.0,1052.0,0.0,3,0.187,0.001,0.095,0.08,2
LBBD1_BCH.py,5-2-5-a10-i3.json,5,2,5,10.0,3,1077.0,1077.0,0.0,6,0.673,0.0,0.305,0.26,2
LBBD1_BCH.py,5-2-5-a100-i1.json,5,2,5,100.0,1,1217.0,1217.0,0.0,4,0.371,0.0,0.196,0.162,1
LBBD1_BCH.py,5-2-5-a100-i2.json,5,2,5,100.0,2,1052.0,1052.0,0.0,3,0.199,0.0,0.098,0.085,2
LBBD1_BCH.py,5-2-5-a100-i3.json,5,2,5,100.0,3,1043.0,1043.0,0.0,4,0.29,0.0,0.15,0.127,1
LBBD1_BCH.py,5-3-3-a0.1-i1.json,5,3,3,0.1,1,796.0,796.0,0.0,4,0.403,0.0,0.217,0.171,2
LBBD1_BCH.py,5-3-3-a0.1-i2.json,5,3,3,0.1,2,1021.0,1021.0,0.0,11,2.306,0.0,0.781,0.613,3
LBBD1_BCH.py,5-3-3-a0.1-i3.json,5,3,3,0.1,3,1125.0,1125.0,0.0,5,0.583,0.0,0.27,0.211,2
LBBD1_BCH.py,5-3-3-a1-i1.json,5,3,3,1.0,1,796.0,796.0,0.0,4,0.419,0.0,0.217,0.187,2
LBBD1_BCH.py,5-3-3-a1-i2.json,5,3,3,1.0,2,1021.0,1021.0,0.0,9,1.911,0.001,0.553,0.454,3
LBBD1_BCH.py,5-3-3-a1-i3.json,5,3,3,1.0,3,1125.0,1125.0,0.0,5,0.632,0.0,0.283,0.236,2
LBBD1_BCH.py,5-3-3-a10-i1.json,5,3,3,10.0,1,796.0,796.0,0.0,4,0.443,0.0,0.222,0.198,2
LBBD1_BCH.py,5-3-3-a10-i2.json,5,3,3,10.0,2,938.0,938.0,0.0,4,0.352,0.001,0.177,0.16,1
LBBD1_BCH.py,5-3-3-a10-i3.json,5,3,3,10.0,3,1099.0,1099.0,0.0,4,0.42,0.001,0.218,0.186,1
LBBD1_BCH.py,5-3-3-a100-i1.json,5,3,3,100.0,1,796.0,796.0,0.0,4,0.448,0.0,0.222,0.2,2
LBBD1_BCH.py,5-3-3-a100-i2.json,5,3,3,100.0,2,938.0,938.0,0.0,4,0.372,0.0,0.188,0.159,1
LBBD1_BCH.py,5-3-3-a100-i3.json,5,3,3,100.0,3,1099.0,1099.0,0.0,4,0.426,0.0,0.217,0.196,1
LBBD1_BCH.py,5-3-4-a0.1-i1.json,5,3,4,0.1,1,871.0,870.9999999999989,1.3052449795822737e-15,4,0.458,0.0,0.224,0.216,2
LBBD1_BCH.py,5-3-4-a0.1-i2.json,5,3,4,0.1,2,1007.0,1007.0,0.0,4,0.359,0.002,0.182,0.16,2
LBBD1_BCH.py,5-3-4-a0.1-i3.json,5,3,4,0.1,3,1100.0,1099.9999999999982,1.6536267304962332e-15,3,0.102,0.0,0.043,0.042,3
LBBD1_BCH.py,5-3-4-a1-i1.json,5,3,4,1.0,1,871.0,870.9999999999989,1.3052449795822737e-15,4,0.446,0.0,0.222,0.198,2
LBBD1_BCH.py,5-3-4-a1-i2.json,5,3,4,1.0,2,1007.0,1007.0,0.0,4,0.391,0.0,0.185,0.18,2
LBBD1_BCH.py,5-3-4-a1-i3.json,5,3,4,1.0,3,1194.0,1194.0,0.0,9,1.553,0.003,0.337,0.26,4
LBBD1_BCH.py,5-3-4-a10-i1.json,5,3,4,10.0,1,871.0,870.9999999999989,1.3052449795822737e-15,4,0.422,0.001,0.22,0.183,2
LBBD1_BCH.py,5-3-4-a10-i2.json,5,3,4,10.0,2,1007.0,1007.0,0.0,4,0.369,0.0,0.184,0.17,2
LBBD1_BCH.py,5-3-4-a10-i3.json,5,3,4,10.0,3,1107.0,1106.9999999999982,1.6431701929050193e-15,3,0.109,0.001,0.047,0.045,3
LBBD1_BCH.py,5-3-4-a100-i1.json,5,3,4,100.0,1,871.0,870.9999999999989,1.3052449795822737e-15,4,0.438,0.0,0.221,0.187,2
LBBD1_BCH.py,5-3-4-a100-i2.json,5,3,4,100.0,2,1007.0,1007.0,0.0,4,0.352,0.0,0.177,0.158,2
LBBD1_BCH.py,5-3-4-a100-i3.json,5,3,4,100.0,3,1107.0,1106.9999999999982,1.6431701929050193e-15,3,0.112,0.0,0.052,0.044,3
LBBD1_BCH.py,5-3-5-a0.1-i1.json,5,3,5,0.1,1,930.0,930.0,0.0,5,0.712,0.001,0.315,0.286,2
LBBD1_BCH.py,5-3-5-a0.1-i2.json,5,3,5,0.1,2,1123.0,1123.0,0.0,5,0.552,0.002,0.231,0.195,3
LBBD1_BCH.py,5-3-5-a0.1-i3.json,5,3,5,0.1,3,1081.0,1081.0,0.0,9,1.772,0.001,0.547,0.442,3
LBBD1_BCH.py,5-3-5-a1-i1.json,5,3,5,1.0,1,930.0,930.0,0.0,5,0.709,0.0,0.331,0.262,2
