算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,目标值,下界,Gap,迭代次数,总求解时间(s),主问题时间(s),子问题阶段1时间(s),子问题阶段2时间(s),拒绝订单个数
LBBD1.py,5-2-3-a0.1-i1.json,5,2,3,0.1,1,1200.0,1200.0,0.0,3,0.59,0.015,0.384,0.186,3
LBBD1.py,5-2-3-a0.1-i2.json,5,2,3,0.1,2,1146.0,1146.0,0.0,1,0.079,0.005,0.069,0.0,3
LBBD1.py,5-2-3-a0.1-i3.json,5,2,3,0.1,3,1214.0,1214.0,0.0,1,0.138,0.006,0.126,0.0,3
LBBD1.py,5-2-3-a1-i1.json,5,2,3,1.0,1,1200.0,1200.0,0.0,3,0.604,0.017,0.379,0.201,3
LBBD1.py,5-2-3-a1-i2.json,5,2,3,1.0,2,1173.0,1173.0,0.0,2,0.199,0.011,0.12,0.061,4
LBBD1.py,5-2-3-a1-i3.json,5,2,3,1.0,3,1206.0,1206.0,0.0,1,0.136,0.006,0.12,0.0,3
LBBD1.py,5-2-3-a10-i1.json,5,2,3,10.0,1,1122.0,1122.0,0.0,1,0.136,0.005,0.125,0.0,2
LBBD1.py,5-2-3-a10-i2.json,5,2,3,10.0,2,1151.0,1151.0,0.0,1,0.076,0.004,0.066,0.0,3
LBBD1.py,5-2-3-a10-i3.json,5,2,3,10.0,3,1214.0,1214.0,0.0,1,0.134,0.006,0.121,0.0,3
LBBD1.py,5-2-3-a100-i1.json,5,2,3,100.0,1,1122.0,1122.0,0.0,1,0.142,0.004,0.133,0.0,2
LBBD1.py,5-2-3-a100-i2.json,5,2,3,100.0,2,1141.0,1141.0,0.0,1,0.079,0.005,0.066,0.0,3
LBBD1.py,5-2-3-a100-i3.json,5,2,3,100.0,3,1199.0,1199.0,0.0,1,0.135,0.005,0.124,0.0,3
LBBD1.py,5-2-4-a0.1-i1.json,5,2,4,0.1,1,1318.0,1318.0,0.0,3,0.527,0.017,0.294,0.208,2
LBBD1.py,5-2-4-a0.1-i2.json,5,2,4,0.1,2,1053.0,1053.0,0.0,3,0.799,0.024,0.394,0.365,2
LBBD1.py,5-2-4-a0.1-i3.json,5,2,4,0.1,3,1134.0,1134.0,0.0,3,0.395,0.02,0.183,0.184,4
LBBD1.py,5-2-4-a1-i1.json,5,2,4,1.0,1,1376.0,1376.0,0.0,7,1.473,0.074,0.706,0.686,3
LBBD1.py,5-2-4-a1-i2.json,5,2,4,1.0,2,1144.0,1144.0,0.0,5,0.927,0.032,0.505,0.383,3
