算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,目标值,下界,Gap,迭代次数,总求解时间(s),主问题时间(s),子问题阶段1时间(s),子问题阶段2时间(s),拒绝订单个数
LBBD3-BCH.py,5-2-3-a0.1-i1.json,5,2,3,0.1,1,1200.0,1199.9999999999995,3.789561257387201e-16,4,0.584,0.0,0.191,0.176,3
LBBD3-BCH.py,5-2-3-a0.1-i2.json,5,2,3,0.1,2,1146.0,1146.0,0.0,4,0.219,0.0,0.109,0.094,3
LBBD3-BCH.py,5-2-3-a0.1-i3.json,5,2,3,0.1,3,1214.0,1214.0,0.0,4,0.414,0.0,0.166,0.126,3
LBBD3-BCH.py,5-2-3-a1-i1.json,5,2,3,1.0,1,1200.0,1199.9999999999995,3.789561257387201e-16,4,0.471,0.0,0.201,0.161,3
LBBD3-BCH.py,5-2-3-a1-i2.json,5,2,3,1.0,2,1173.0,1172.9999999999995,3.8767890101147836e-16,3,0.108,0.0,0.049,0.041,4
LBBD3-BCH.py,5-2-3-a1-i3.json,5,2,3,1.0,3,1206.0,1206.0,0.0,4,0.291,0.0,0.148,0.127,3
LBBD3-BCH.py,5-2-3-a10-i1.json,5,2,3,10.0,1,1122.0,1122.0,0.0,4,0.433,0.0,0.202,0.214,2
LBBD3-BCH.py,5-2-3-a10-i2.json,5,2,3,10.0,2,1151.0,1151.0,0.0,4,0.258,0.0,0.124,0.115,3
LBBD3-BCH.py,5-2-3-a10-i3.json,5,2,3,10.0,3,1214.0,1214.0,0.0,5,0.473,0.0,0.245,0.21,3
LBBD3-BCH.py,5-2-3-a100-i1.json,5,2,3,100.0,1,1122.0,1122.0,0.0,4,0.388,0.0,0.2,0.173,2
LBBD3-BCH.py,5-2-3-a100-i2.json,5,2,3,100.0,2,1141.0,1141.0,0.0,4,0.206,0.0,0.1,0.089,3
LBBD3-BCH.py,5-2-3-a100-i3.json,5,2,3,100.0,3,1199.0,1199.0,0.0,4,0.299,0.001,0.156,0.125,3
LBBD3-BCH.py,5-2-4-a0.1-i1.json,5,2,4,0.1,1,1318.0,1317.9999999999982,1.3801133562563403e-15,8,1.116,0.001,0.468,0.402,2
LBBD3-BCH.py,5-2-4-a0.1-i2.json,5,2,4,0.1,2,1053.0,1053.0,0.0,7,1.274,0.001,0.37,0.3,2
LBBD3-BCH.py,5-2-4-a0.1-i3.json,5,2,4,0.1,3,1134.0,1134.0,0.0,6,0.433,0.0,0.211,0.189,4
LBBD3-BCH.py,5-2-4-a1-i1.json,5,2,4,1.0,1,1376.0,1375.999999999999,6.609699867535816e-16,5,0.788,0.001,0.203,0.169,3
LBBD3-BCH.py,5-2-4-a1-i2.json,5,2,4,1.0,2,1144.0,1143.999999999995,4.372570681600617e-15,9,1.283,0.0,0.603,0.516,3
LBBD3-BCH.py,5-2-4-a1-i3.json,5,2,4,1.0,3,1059.0,1059.0,0.0,3,0.122,0.0,0.05,0.054,3
LBBD3-BCH.py,5-2-4-a10-i1.json,5,2,4,10.0,1,1279.0,1279.0,0.0,5,0.437,0.0,0.215,0.19,2
LBBD3-BCH.py,5-2-4-a10-i2.json,5,2,4,10.0,2,1000.0,1000.0,0.0,5,0.405,0.0,0.196,0.185,1
LBBD3-BCH.py,5-2-4-a10-i3.json,5,2,4,10.0,3,1058.0,1058.0,0.0,3,0.117,0.001,0.044,0.055,3
LBBD3-BCH.py,5-2-4-a100-i1.json,5,2,4,100.0,1,1279.0,1279.0,0.0,5,0.413,0.0,0.209,0.183,2
LBBD3-BCH.py,5-2-4-a100-i2.json,5,2,4,100.0,2,1000.0,1000.0,0.0,5,0.426,0.0,0.201,0.201,1
LBBD3-BCH.py,5-2-4-a100-i3.json,5,2,4,100.0,3,1049.0,1049.0,0.0,3,0.118,0.0,0.049,0.05,3
LBBD3-BCH.py,5-2-5-a0.1-i1.json,5,2,5,0.1,1,1217.0,1217.0,0.0,5,0.58,0.001,0.227,0.201,1
LBBD3-BCH.py,5-2-5-a0.1-i2.json,5,2,5,0.1,2,1073.0,1072.999999999999,8.476185477846488e-16,12,2.587,0.0,0.93,0.772,3
LBBD3-BCH.py,5-2-5-a0.1-i3.json,5,2,5,0.1,3,1043.0,1043.0,0.0,4,0.307,0.0,0.15,0.135,1
LBBD3-BCH.py,5-2-5-a1-i1.json,5,2,5,1.0,1,1217.0,1217.0,0.0,5,0.511,0.0,0.201,0.182,1
LBBD3-BCH.py,5-2-5-a1-i2.json,5,2,5,1.0,2,1052.0,1052.0,0.0,3,0.213,0.002,0.105,0.09,2
LBBD3-BCH.py,5-2-5-a1-i3.json,5,2,5,1.0,3,1043.0,1043.0,0.0,4,0.313,0.0,0.155,0.137,1
LBBD3-BCH.py,5-2-5-a10-i1.json,5,2,5,10.0,1,1217.0,1217.0,0.0,5,0.458,0.0,0.227,0.201,1
LBBD3-BCH.py,5-2-5-a10-i2.json,5,2,5,10.0,2,1052.0,1052.0,0.0,3,0.225,0.0,0.107,0.099,2
LBBD3-BCH.py,5-2-5-a10-i3.json,5,2,5,10.0,3,1077.0,1077.0,0.0,5,0.486,0.0,0.195,0.172,2
LBBD3-BCH.py,5-2-5-a100-i1.json,5,2,5,100.0,1,1217.0,1217.0,0.0,5,0.425,0.0,0.211,0.19,1
LBBD3-BCH.py,5-2-5-a100-i2.json,5,2,5,100.0,2,1052.0,1052.0,0.0,3,0.213,0.0,0.1,0.095,2
LBBD3-BCH.py,5-2-5-a100-i3.json,5,2,5,100.0,3,1043.0,1043.0,0.0,6,0.617,0.0,0.314,0.278,1
LBBD3-BCH.py,5-3-3-a0.1-i1.json,5,3,3,0.1,1,796.0,796.0,0.0,4,0.569,0.0,0.244,0.204,2
