算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,目标值,下界,Gap,迭代次数,总求解时间(s),主问题时间(s),子问题阶段1时间(s),子问题阶段2时间(s),拒绝订单个数
LBBD3.py,5-2-3-a0.1-i1.json,5,2,3,0.1,1,1200,1200,0,2,0.469,0.022,0.349,0.09,3
LBBD3.py,5-2-3-a0.1-i2.json,5,2,3,0.1,2,1146,1146,0,1,0.105,0.009,0.09,0,3
LBBD3.py,5-2-3-a0.1-i3.json,5,2,3,0.1,3,1214,1214,0,1,0.202,0.01,0.183,0,3
LBBD3.py,5-2-3-a1-i1.json,5,2,3,1,1,1200,1200,0,2,0.485,0.023,0.351,0.098,3
LBBD3.py,5-2-3-a1-i2.json,5,2,3,1,2,1173,1173,0,1,0.097,0.012,0.078,0,4
LBBD3.py,5-2-3-a1-i3.json,5,2,3,1,3,1206,1206,0,1,0.169,0.007,0.155,0,3
LBBD3.py,5-2-3-a10-i1.json,5,2,3,10,1,1122,1122,0,1,0.191,0.008,0.177,0,2
LBBD3.py,5-2-3-a10-i2.json,5,2,3,10,2,1151,1151,0,1,0.098,0.009,0.082,0,3
LBBD3.py,5-2-3-a10-i3.json,5,2,3,10,3,1214,1214,0,1,0.18,0.014,0.158,0,3
LBBD3.py,5-2-3-a100-i1.json,5,2,3,100,1,1122,1122,0,1,0.195,0.008,0.183,0,2
LBBD3.py,5-2-3-a100-i2.json,5,2,3,100,2,1141,1141,0,1,0.112,0.01,0.094,0,3
LBBD3.py,5-2-3-a100-i3.json,5,2,3,100,3,1199,1199,0,1,0.188,0.011,0.172,0,3
LBBD3.py,5-2-4-a0.1-i1.json,5,2,4,0.1,1,1318,1318,0,1,0.186,0.01,0.167,0,2
LBBD3.py,5-2-4-a0.1-i2.json,5,2,4,0.1,2,1053,1053,0,2,0.522,0.021,0.333,0.158,2
LBBD3.py,5-2-4-a0.1-i3.json,5,2,4,0.1,3,1134,1134,0,1,0.106,0.011,0.087,0,4
LBBD3.py,5-2-4-a1-i1.json,5,2,4,1,1,1376,1376,0,5,1.313,0.094,0.72,0.49,3
LBBD3.py,5-2-4-a1-i2.json,5,2,4,1,2,1144,1144,0,2,0.456,0.037,0.323,0.082,3
LBBD3.py,5-2-4-a1-i3.json,5,2,4,1,3,1059,1059,0,1,0.127,0.016,0.098,0,3
LBBD3.py,5-2-4-a10-i1.json,5,2,4,10,1,1279,1279,0,1,0.113,0.009,0.094,0,2
LBBD3.py,5-2-4-a10-i2.json,5,2,4,10,2,1000,1000,0,1,0.184,0.012,0.165,0,1
LBBD3.py,5-2-4-a10-i3.json,5,2,4,10,3,1058,1058,0,1,0.111,0.012,0.091,0,3
LBBD3.py,5-2-4-a100-i1.json,5,2,4,100,1,1279,1279,0,1,0.106,0.009,0.089,0,2
LBBD3.py,5-2-4-a100-i2.json,5,2,4,100,2,1000,1000,0,1,0.187,0.011,0.166,0,1
LBBD3.py,5-2-4-a100-i3.json,5,2,4,100,3,1049,1049,0,1,0.104,0.01,0.085,0,3
LBBD3.py,5-2-5-a0.1-i1.json,5,2,5,0.1,1,1217,1217,0,1,0.184,0.009,0.166,0,1
LBBD3.py,5-2-5-a0.1-i2.json,5,2,5,0.1,2,1073,1073,0,4,1.028,0.034,0.673,0.308,3
LBBD3.py,5-2-5-a0.1-i3.json,5,2,5,0.1,3,1043,1043,0,1,0.223,0.009,0.203,0,1
LBBD3.py,5-2-5-a1-i1.json,5,2,5,1,1,1217,1217,0,1,0.197,0.01,0.175,0,1
LBBD3.py,5-2-5-a1-i2.json,5,2,5,1,2,1052,1052,0,1,0.192,0.01,0.172,0,2
LBBD3.py,5-2-5-a1-i3.json,5,2,5,1,3,1043,1043,0,1,0.209,0.009,0.186,0,1
LBBD3.py,5-2-5-a10-i1.json,5,2,5,10,1,1217,1217,0,1,0.202,0.012,0.179,0,1
LBBD3.py,5-2-5-a10-i2.json,5,2,5,10,2,1052,1052,0,1,0.191,0.01,0.171,0,2
LBBD3.py,5-2-5-a10-i3.json,5,2,5,10,3,1077,1077,0,2,0.514,0.031,0.365,0.101,2
LBBD3.py,5-2-5-a100-i1.json,5,2,5,100,1,1217,1217,0,1,0.21,0.015,0.185,0,1
LBBD3.py,5-2-5-a100-i2.json,5,2,5,100,2,1052,1052,0,1,0.21,0.012,0.188,0,2
LBBD3.py,5-2-5-a100-i3.json,5,2,5,100,3,1043,1043,0,1,0.196,0.01,0.177,0,1
LBBD3.py,5-3-3-a0.1-i1.json,5,3,3,0.1,1,796,796,0,1,0.255,0.011,0.236,0,2
LBBD3.py,5-3-3-a0.1-i2.json,5,3,3,0.1,2,1021,1021,0,3,0.811,0.051,0.504,0.243,3
LBBD3.py,5-3-3-a0.1-i3.json,5,3,3,0.1,3,1125,1125,0,2,0.601,0.022,0.481,0.084,2
LBBD3.py,5-3-3-a1-i1.json,5,3,3,1,1,796,796,0,1,0.257,0.012,0.234,0,2
LBBD3.py,5-3-3-a1-i2.json,5,3,3,1,2,1021,1021,0,3,0.877,0.043,0.498,0.326,3
LBBD3.py,5-3-3-a1-i3.json,5,3,3,1,3,1125,1125,0,2,0.597,0.019,0.487,0.081,2
LBBD3.py,5-3-3-a10-i1.json,5,3,3,10,1,796,796,0,1,0.29,0.01,0.271,0,2
LBBD3.py,5-3-3-a10-i2.json,5,3,3,10,2,938,938,0,1,0.261,0.02,0.225,0,1
LBBD3.py,5-3-3-a10-i3.json,5,3,3,10,3,1099,1099,0,1,0.276,0.012,0.255,0,1
LBBD3.py,5-3-3-a100-i1.json,5,3,3,100,1,796,796,0,1,0.263,0.014,0.238,0,2
LBBD3.py,5-3-3-a100-i2.json,5,3,3,100,2,938,938,0,1,0.193,0.014,0.171,0,1
LBBD3.py,5-3-3-a100-i3.json,5,3,3,100,3,1099,1099,0,1,0.275,0.014,0.252,0,1
LBBD3.py,5-3-4-a0.1-i1.json,5,3,4,0.1,1,871,871,0,1,0.198,0.009,0.179,0,2
LBBD3.py,5-3-4-a0.1-i2.json,5,3,4,0.1,2,1007,1007,0,1,0.204,0.016,0.175,0,2
LBBD3.py,5-3-4-a0.1-i3.json,5,3,4,0.1,3,1100,1100,0,1,0.114,0.014,0.085,0,3
