算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,目标值,下界,Gap,迭代次数,总求解时间(s),主问题时间(s),子问题阶段1时间(s),子问题阶段2时间(s),拒绝订单个数,下界
LBBD3.py,5-2-3-a1-i2.json,5,2,3,1,2,1173,1173,0,1,0.098,0.011,0.079,0,4,1173
LBBD3.py,5-2-3-a1-i3.json,5,2,3,1,3,1206,1206,0,1,0.179,0.01,0.162,0,3,1206
LBBD3.py,5-2-4-a0.1-i1.json,5,2,4,0.1,1,1318,1318,0,1,0.185,0.011,0.164,0,2,1318
LBBD3.py,5-2-4-a100-i1.json,5,2,4,100,1,1279,1279,0,1,0.107,0.012,0.087,0,2,1279
LBBD3.py,5-2-5-a0.1-i1.json,5,2,5,0.1,1,1217,1217,0,1,0.179,0.011,0.159,0,1,1217
LBBD3.py,5-2-5-a10-i1.json,5,2,5,10,1,1217,1217,0,1,0.192,0.012,0.17,0,1,1217
LBBD3.py,5-3-3-a1-i1.json,5,3,3,1,1,796,796,0,1,0.248,0.012,0.227,0,2,796
LBBD3.py,5-3-3-a100-i2.json,5,3,3,100,2,938,938,0,1,0.178,0.01,0.159,0,1,938
LBBD3.py,5-3-4-a1-i3.json,5,3,4,1,3,1194,1194,0,1,0.1,0.013,0.076,0,4,1194
LBBD3.py,5-3-4-a10-i3.json,5,3,4,10,3,1107,1107,0,1,0.108,0.013,0.084,0,3,1107
LBBD3.py,5-3-5-a10-i2.json,5,3,5,10,2,1117,1117,0,1,0.194,0.015,0.161,0,2,1117
LBBD3.py,5-3-5-a100-i2.json,5,3,5,100,2,1117,1117,0,1,0.191,0.016,0.158,0,2,1117
LBBD3.py,5-4-3-a10-i1.json,5,4,3,10,1,832,832,0,1,0.116,0.013,0.089,0,2,832
LBBD3.py,5-4-3-a100-i1.json,5,4,3,100,1,832,832,0,1,0.108,0.013,0.086,0,2,832
LBBD3.py,5-4-4-a1-i1.json,5,4,4,1,1,798,798,0,1,0.184,0.014,0.156,0,2,798
LBBD3.py,5-4-4-a10-i3.json,5,4,4,10,3,1124,1124,0,1,0.265,0.017,0.234,0,1,1124
LBBD3.py,5-4-5-a0.1-i2.json,5,4,5,0.1,2,989,989,0,1,0.189,0.014,0.159,0,2,989
LBBD3.py,5-4-5-a1-i2.json,5,4,5,1,2,989,989,0,1,0.227,0.022,0.178,0,2,989
LBBD3.py,10-2-3-a10-i3.json,10,2,3,10,3,2294,2294,0,1,0.219,0.021,0.185,0,6,2294
LBBD3.py,10-2-3-a100-i1.json,10,2,3,100,1,2316,2316,0,1,0.138,0.019,0.107,0,5,2316
LBBD3.py,10-2-4-a100-i2.json,10,2,4,100,2,2007,2007,0,1,0.2,0.016,0.168,0,4,2007
LBBD3.py,10-2-4-a100-i3.json,10,2,4,100,3,2258,2258,0,1,0.203,0.018,0.17,0,3,2258
LBBD3.py,10-2-5-a1-i1.json,10,2,5,1,1,2244,2244,0,1,0.206,0.027,0.161,0,6,2244
LBBD3.py,10-2-5-a100-i1.json,10,2,5,100,1,2244,2244,0,1,0.222,0.021,0.18,0,6,2244
LBBD3.py,10-3-3-a100-i2.json,10,3,3,100,2,2153,2153,0,1,0.283,0.015,0.251,0,3,2153
