算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,目标值,下界,Gap,迭代次数,总求解时间(s),主问题时间(s),子问题阶段1时间(s),子问题阶段2时间(s),拒绝订单个数
LBBD32nocut2.py,5-2-3-a1-i2.json,5,2,3,1,2,1173,1173,0,1,0.196,0.035,0.135,0,4
LBBD32nocut2.py,5-2-3-a1-i3.json,5,2,3,1,3,1206,1206,0,1,0.42,0.022,0.377,0,3
LBBD32nocut2.py,5-2-4-a0.1-i1.json,5,2,4,0.1,1,1318,1318,0,1,0.703,0.377,0.299,0,2
LBBD32nocut2.py,5-2-4-a100-i1.json,5,2,4,100,1,1279,1279,0,1,0.213,0.016,0.177,0,2
LBBD32nocut2.py,5-2-5-a0.1-i1.json,5,2,5,0.1,1,1217,1217,0,1,0.432,0.039,0.36,0,1
LBBD32nocut2.py,5-2-5-a10-i1.json,5,2,5,10,1,1217,1217,0,1,0.756,0.04,0.633,0,1
LBBD32nocut2.py,5-3-3-a1-i1.json,5,3,3,1,1,796,796,0,1,0.626,0.027,0.48,0,2
LBBD32nocut2.py,5-3-3-a100-i2.json,5,3,3,100,2,938,938,0,1,0.433,0.012,0.391,0,1
LBBD32nocut2.py,5-3-4-a1-i3.json,5,3,4,1,3,1194,1194,0,1,0.472,0.244,0.164,0,4
LBBD32nocut2.py,5-3-4-a10-i3.json,5,3,4,10,3,1107,1107,0,1,0.331,0.092,0.197,0,3
LBBD32nocut2.py,5-3-5-a10-i2.json,5,3,5,10,2,1117,1117,0,1,0.499,0.082,0.319,0,2
LBBD32nocut2.py,5-3-5-a100-i2.json,5,3,5,100,2,1117,1117,0,1,0.594,0.131,0.349,0,2
LBBD32nocut2.py,5-4-3-a10-i1.json,5,4,3,10,1,832,832,0,1,0.399,0.058,0.22,0,2
LBBD32nocut2.py,5-4-3-a100-i1.json,5,4,3,100,1,832,832,0,1,0.339,0.066,0.171,0,2
LBBD32nocut2.py,5-4-4-a1-i1.json,5,4,4,1,1,798,798,0,1,0.623,0.131,0.334,0,2
LBBD32nocut2.py,5-4-4-a10-i3.json,5,4,4,10,3,1124,1124,0,1,0.722,0.051,0.534,0,1
LBBD32nocut2.py,5-4-5-a0.1-i2.json,5,4,5,0.1,2,989,989,0,1,0.521,0.137,0.327,0,2
LBBD32nocut2.py,5-4-5-a1-i2.json,5,4,5,1,2,989,989,0,1,0.562,0.084,0.414,0,2
LBBD32nocut2.py,10-2-3-a10-i3.json,10,2,3,10,3,2294,2294,0,1,0.658,0.082,0.385,0,6
LBBD32nocut2.py,10-2-3-a100-i1.json,10,2,3,100,1,2316,2316,0,1,0.533,0.105,0.211,0,5
LBBD32nocut2.py,10-2-4-a100-i2.json,10,2,4,100,2,2007,2007,0,1,0.525,0.052,0.374,0,4
LBBD32nocut2.py,10-2-4-a100-i3.json,10,2,4,100,3,2258,2258,0,1,0.682,0.205,0.359,0,3
LBBD32nocut2.py,10-2-5-a1-i1.json,10,2,5,1,1,2244,2244,0,1,0.536,0.101,0.337,0,6
