算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,目标值,下界,Gap,迭代次数,总求解时间(s),主问题时间(s),子问题阶段1时间(s),子问题阶段2时间(s),拒绝订单个数
LBBD31noub.py,5-2-3-a1-i2.json,5,2,3,1,2,1173,1173,0,1,0.296,0.04,0.165,0,4
LBBD31noub.py,5-2-3-a1-i3.json,5,2,3,1,3,1206,1206,0,1,0.513,0.05,0.411,0,3
LBBD31noub.py,5-2-4-a0.1-i1.json,5,2,4,0.1,1,1318,1318,0,1,0.6,0.04,0.513,0,2
LBBD31noub.py,5-2-4-a100-i1.json,5,2,4,100,1,1279,1279,0,1,0.264,0.041,0.175,0,2
LBBD31noub.py,5-2-5-a0.1-i1.json,5,2,5,0.1,1,1217,1217,0,1,0.478,0.072,0.375,0,1
LBBD31noub.py,5-2-5-a10-i1.json,5,2,5,10,1,1217,1217,0,1,0.575,0.027,0.441,0,1
LBBD31noub.py,5-3-3-a1-i1.json,5,3,3,1,1,796,796,0,1,0.758,0.084,0.586,0,2
LBBD31noub.py,5-3-3-a100-i2.json,5,3,3,100,2,938,938,0,1,0.51,0.053,0.377,0,1
LBBD31noub.py,5-3-4-a1-i3.json,5,3,4,1,3,1194,1194,0,1,0.346,0.054,0.226,0,4
LBBD31noub.py,5-3-4-a10-i3.json,5,3,4,10,3,1107,1107,0,1,0.311,0.104,0.159,0,3
LBBD31noub.py,5-3-5-a10-i2.json,5,3,5,10,2,1117,1117,0,1,0.621,0.109,0.398,0,2
LBBD31noub.py,5-3-5-a100-i2.json,5,3,5,100,2,1117,1117,0,1,0.602,0.154,0.369,0,2
LBBD31noub.py,5-4-3-a10-i1.json,5,4,3,10,1,832,832,0,1,0.377,0.046,0.241,0,2
LBBD31noub.py,5-4-3-a100-i1.json,5,4,3,100,1,832,832,0,1,0.34,0.081,0.17,0,2
LBBD31noub.py,5-4-4-a1-i1.json,5,4,4,1,1,798,798,0,1,0.489,0.048,0.296,0,2
LBBD31noub.py,5-4-4-a10-i3.json,5,4,4,10,3,1124,1124,0,1,0.769,0.056,0.564,0,1
LBBD31.py,5-4-5-a0.1-i2.json,5,4,5,0.1,2,989,989,0,1,0.643,0.135,0.421,0,2
LBBD31.py,5-4-5-a1-i2.json,5,4,5,1,2,989,989,0,1,0.515,0.132,0.292,0,2
LBBD31.py,10-2-3-a10-i3.json,10,2,3,10,3,2294,2294,0,1,0.615,0.144,0.403,0,6
LBBD31.py,10-2-3-a100-i1.json,10,2,3,100,1,2316,2316,0,1,0.345,0.117,0.158,0,5
LBBD31.py,10-2-4-a100-i2.json,10,2,4,100,2,2007,2007,0,1,0.45,0.04,0.347,0,4
LBBD31.py,10-2-4-a100-i3.json,10,2,4,100,3,2258,2258,0,1,0.483,0.075,0.328,0,3
LBBD31.py,10-2-5-a1-i1.json,10,2,5,1,1,2244,2244,0,1,0.472,0.073,0.333,0,6
LBBD31.py,10-2-5-a100-i1.json,10,2,5,100,1,2244,2244,0,1,0.491,0.063,0.344,0,6
LBBD31.py,10-3-3-a100-i2.json,10,3,3,100,2,2153,2153,0,1,0.806,0.136,0.559,0,3
LBBD31.py,10-3-3-a100-i3.json,10,3,3,100,3,1907,1907,0,1,0.797,0.099,0.511,0,5
LBBD31.py,10-3-4-a10-i3.json,10,3,4,10,3,1767,1767,0,1,0.733,0.078,0.555,0,3
LBBD31.py,10-3-4-a100-i1.json,10,3,4,100,1,2029,2029,0,1,0.553,0.066,0.345,0,4
LBBD31.py,10-3-5-a100-i1.json,10,3,5,100,1,2083,2083,0,1,0.837,0.149,0.51,0,5
LBBD31.py,10-3-5-a100-i2.json,10,3,5,100,2,1965,1965,0,1,0.693,0.07,0.511,0,3
LBBD31.py,10-4-3-a0.1-i1.json,10,4,3,0.1,1,1767,1767,0,1,0.993,0.188,0.679,0,5
LBBD31.py,10-4-3-a10-i1.json,10,4,3,10,1,1760,1760,0,1,0.785,0.093,0.601,0,5
LBBD31.py,10-4-4-a10-i2.json,10,4,4,10,2,1825,1825,0,1,0.956,0.102,0.679,0,3
LBBD31.py,10-4-4-a100-i3.json,10,4,4,100,3,1913,1913,0,1,0.79,0.065,0.597,0,5
LBBD31.py,10-4-5-a1-i3.json,10,4,5,1,3,1846,1846,0,5,4.699,1.121,3.282,0,4
LBBD31.py,10-4-5-a100-i2.json,10,4,5,100,2,1900,1900,0,1,0.708,0.099,0.482,0,4
LBBD31.py,15-2-3-a1-i1.json,15,2,3,1,1,3040,3040,0,3,1.619,0.449,1.027,0,11
LBBD31.py,15-2-3-a100-i2.json,15,2,3,100,2,2764,2764,0,1,0.489,0.059,0.336,0,6
LBBD31.py,15-2-4-a10-i1.json,15,2,4,10,1,2538,2538,0,1,0.666,0.165,0.401,0,8
LBBD31.py,15-2-4-a100-i3.json,15,2,4,100,3,3098,3098,0,1,0.612,0.17,0.319,0,9
LBBD31.py,15-2-5-a10-i1.json,15,2,5,10,1,2847,2847,0,1,0.639,0.138,0.316,0,10
LBBD31.py,15-2-5-a10-i3.json,15,2,5,10,3,3191,3191,0,1,0.68,0.15,0.359,0,7
LBBD31.py,15-3-3-a10-i3.json,15,3,3,10,3,2995,2995,0,1,0.884,0.251,0.459,0,7
