算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,状态,目标值,下界,Gap,总求解时间(s),日志路径,可行
GA,30-3-6-a0.1-i1.json,30,3,6,0.1,1,GA,6926.0,无,无,299.035,,True
GA,30-3-6-a0.1-i2.json,30,3,6,0.1,2,GA,6808.0,无,无,299.012,,True
GA,30-3-6-a0.1-i3.json,30,3,6,0.1,3,GA,6168.0,无,无,299.019,,True
GA,30-3-6-a1-i1.json,30,3,6,1.0,1,GA,6870.0,无,无,299.016,,True
GA,30-3-6-a1-i2.json,30,3,6,1.0,2,GA,6815.0,无,无,299.035,,True
GA,30-3-6-a1-i3.json,30,3,6,1.0,3,GA,5898.0,无,无,299.014,,True
GA,30-3-6-a10-i1.json,30,3,6,10.0,1,GA,6203.0,无,无,299.118,,True
GA,30-3-6-a10-i2.json,30,3,6,10.0,2,GA,6281.0,无,无,299.005,,True
GA,30-3-6-a10-i3.json,30,3,6,10.0,3,GA,5351.0,无,无,299.071,,True
GA,30-3-6-a100-i1.json,30,3,6,100.0,1,GA,6127.0,无,无,299.028,,True
GA,30-3-6-a100-i2.json,30,3,6,100.0,2,GA,6367.0,无,无,299.268,,True
GA,30-3-6-a100-i3.json,30,3,6,100.0,3,GA,5287.0,无,无,299.006,,True
GA,30-3-7-a0.1-i1.json,30,3,7,0.1,1,GA,6518.0,无,无,299.014,,True
GA,30-3-7-a0.1-i2.json,30,3,7,0.1,2,GA,6764.0,无,无,299.004,,True
GA,30-3-7-a0.1-i3.json,30,3,7,0.1,3,GA,6787.0,无,无,299.024,,True
GA,30-3-7-a1-i1.json,30,3,7,1.0,1,GA,6377.0,无,无,299.012,,True
GA,30-3-7-a1-i2.json,30,3,7,1.0,2,GA,6941.0,无,无,299.031,,True
GA,30-3-7-a1-i3.json,30,3,7,1.0,3,GA,7124.0,无,无,299.012,,True
GA,30-3-7-a10-i1.json,30,3,7,10.0,1,GA,5765.0,无,无,299.029,,True
GA,30-3-7-a10-i2.json,30,3,7,10.0,2,GA,6117.0,无,无,299.055,,True
GA,30-3-7-a10-i3.json,30,3,7,10.0,3,GA,7009.0,无,无,299.022,,True
GA,30-3-7-a100-i1.json,30,3,7,100.0,1,GA,5491.0,无,无,299.01,,True
GA,30-3-7-a100-i2.json,30,3,7,100.0,2,GA,6159.0,无,无,299.034,,True
