算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,状态,目标值,下界,Gap,总求解时间(s),日志路径,可行
PSO,30-3-6-a0.1-i1.json,30,3,6,0.1,1,PSO,7248.0,无,无,299.174,,True
PSO,30-3-6-a0.1-i2.json,30,3,6,0.1,2,PSO,7998.0,无,无,300.019,,True
PSO,30-3-6-a0.1-i3.json,30,3,6,0.1,3,PSO,6721.0,无,无,299.334,,True
PSO,30-3-6-a1-i1.json,30,3,6,1.0,1,PSO,7352.0,无,无,299.988,,True
PSO,30-3-6-a1-i2.json,30,3,6,1.0,2,PSO,7465.0,无,无,299.088,,True
PSO,30-3-6-a1-i3.json,30,3,6,1.0,3,PSO,7157.0,无,无,300.013,,True
PSO,30-3-6-a10-i1.json,30,3,6,10.0,1,PSO,6887.0,无,无,299.03,,True
PSO,30-3-6-a10-i2.json,30,3,6,10.0,2,PSO,6930.0,无,无,299.08,,True
PSO,30-3-6-a10-i3.json,30,3,6,10.0,3,PSO,6455.0,无,无,300.013,,True
PSO,30-3-6-a100-i1.json,30,3,6,100.0,1,PSO,6964.0,无,无,299.129,,True
PSO,30-3-6-a100-i2.json,30,3,6,100.0,2,PSO,7018.0,无,无,299.037,,True
PSO,30-3-6-a100-i3.json,30,3,6,100.0,3,PSO,6078.0,无,无,299.031,,True
PSO,30-3-7-a0.1-i1.json,30,3,7,0.1,1,PSO,7239.0,无,无,300.01,,True
PSO,30-3-7-a0.1-i2.json,30,3,7,0.1,2,PSO,7695.0,无,无,300.0,,True
PSO,30-3-7-a0.1-i3.json,30,3,7,0.1,3,PSO,6889.0,无,无,300.019,,True
PSO,30-3-7-a1-i1.json,30,3,7,1.0,1,PSO,7266.0,无,无,300.013,,True
PSO,30-3-7-a1-i2.json,30,3,7,1.0,2,PSO,7959.0,无,无,300.038,,True
PSO,30-3-7-a1-i3.json,30,3,7,1.0,3,PSO,6889.0,无,无,299.91,,True
PSO,30-3-7-a10-i1.json,30,3,7,10.0,1,PSO,6926.0,无,无,300.021,,True
