算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,状态,目标值,下界,Gap,总求解时间(s),日志路径,可行
WOA,30-3-6-a0.1-i1.json,30,3,6,0.1,1,WOA,7960,无,无,299.193,,TRUE
WOA,30-3-6-a0.1-i2.json,30,3,6,0.1,2,WOA,8056,无,无,299.02,,TRUE
WOA,30-3-6-a0.1-i3.json,30,3,6,0.1,3,WOA,7840,无,无,299.823,,TRUE
WOA,30-3-6-a1-i1.json,30,3,6,1,1,WOA,7837,无,无,299.499,,TRUE
WOA,30-3-6-a1-i2.json,30,3,6,1,2,WOA,7912,无,无,299.035,,TRUE
WOA,30-3-6-a1-i3.json,30,3,6,1,3,WOA,7840,无,无,299.256,,TRUE
WOA,30-3-6-a10-i1.json,30,3,6,10,1,WOA,7837,无,无,300.041,,TRUE
WOA,30-3-6-a10-i2.json,30,3,6,10,2,WOA,7821,无,无,299.034,,TRUE
WOA,30-3-6-a10-i3.json,30,3,6,10,3,WOA,7840,无,无,299.861,,TRUE
WOA,30-3-6-a100-i1.json,30,3,6,100,1,WOA,7960,无,无,300.06,,TRUE
WOA,30-3-6-a100-i2.json,30,3,6,100,2,WOA,7620,无,无,299.041,,TRUE
WOA,30-3-6-a100-i3.json,30,3,6,100,3,WOA,7840,无,无,299.204,,TRUE
WOA,30-3-7-a0.1-i1.json,30,3,7,0.1,1,WOA,7501,无,无,299.993,,TRUE
WOA,30-3-7-a0.1-i2.json,30,3,7,0.1,2,WOA,8266,无,无,299.53,,TRUE
WOA,30-3-7-a0.1-i3.json,30,3,7,0.1,3,WOA,7840,无,无,299.352,,TRUE
WOA,30-3-7-a1-i1.json,30,3,7,1,1,WOA,7479,无,无,299.028,,TRUE
WOA,30-3-7-a1-i2.json,30,3,7,1,2,WOA,8266,无,无,299.659,,TRUE
WOA,30-3-7-a1-i3.json,30,3,7,1,3,WOA,7840,无,无,299.945,,TRUE
WOA,30-3-7-a10-i1.json,30,3,7,10,1,WOA,7301,无,无,299.9,,TRUE
WOA,30-3-7-a10-i2.json,30,3,7,10,2,WOA,7661,无,无,299.188,,TRUE
WOA,30-3-7-a10-i3.json,30,3,7,10,3,WOA,7840,无,无,299.78,,TRUE
WOA,30-3-7-a100-i1.json,30,3,7,100,1,WOA,7034,无,无,299.008,,TRUE
WOA,30-3-7-a100-i2.json,30,3,7,100,2,WOA,8470,无,无,299.682,,TRUE
WOA,30-3-7-a100-i3.json,30,3,7,100,3,WOA,7369,无,无,299.143,,TRUE
WOA,30-3-8-a0.1-i1.json,30,3,8,0.1,1,WOA,7960,无,无,299.371,,TRUE
WOA,30-3-8-a0.1-i2.json,30,3,8,0.1,2,WOA,8185,无,无,299.033,,TRUE
WOA,30-3-8-a0.1-i3.json,30,3,8,0.1,3,WOA,7840,无,无,299.484,,TRUE
WOA,30-3-8-a1-i1.json,30,3,8,1,1,WOA,7960,无,无,299.329,,TRUE
WOA,30-3-8-a1-i2.json,30,3,8,1,2,WOA,8255,无,无,299.024,,TRUE
WOA,30-3-8-a1-i3.json,30,3,8,1,3,WOA,7840,无,无,299.621,,TRUE
WOA,30-3-8-a10-i1.json,30,3,8,10,1,WOA,7960,无,无,299.717,,TRUE
WOA,30-3-8-a10-i2.json,30,3,8,10,2,WOA,8395,无,无,299.046,,TRUE
WOA,30-3-8-a10-i3.json,30,3,8,10,3,WOA,7840,无,无,299.749,,TRUE
WOA,30-3-8-a100-i1.json,30,3,8,100,1,WOA,7960,无,无,299.883,,TRUE
WOA,30-3-8-a100-i2.json,30,3,8,100,2,WOA,8439,无,无,300.038,,TRUE
WOA,30-3-8-a100-i3.json,30,3,8,100,3,WOA,7753,无,无,299.852,,TRUE
WOA,30-4-6-a0.1-i1.json,30,4,6,0.1,1,WOA,7631,无,无,299.013,,TRUE
WOA,30-4-6-a0.1-i2.json,30,4,6,0.1,2,WOA,8554,无,无,299.033,,TRUE
WOA,30-4-6-a0.1-i3.json,30,4,6,0.1,3,WOA,7255,无,无,299.019,,TRUE
WOA,30-4-6-a1-i1.json,30,4,6,1,1,WOA,7618,无,无,299.036,,TRUE
WOA,30-4-6-a1-i2.json,30,4,6,1,2,WOA,8424,无,无,299.048,,TRUE
WOA,30-4-6-a1-i3.json,30,4,6,1,3,WOA,6997,无,无,299.031,,TRUE
WOA,30-4-6-a10-i1.json,30,4,6,10,1,WOA,7544,无,无,299.044,,TRUE
WOA,30-4-6-a10-i2.json,30,4,6,10,2,WOA,8391,无,无,299.014,,TRUE
WOA,30-4-6-a10-i3.json,30,4,6,10,3,WOA,7339,无,无,300.009,,TRUE
WOA,30-4-6-a100-i1.json,30,4,6,100,1,WOA,7618,无,无,299.013,,TRUE
WOA,30-4-6-a100-i2.json,30,4,6,100,2,WOA,8320,无,无,299.023,,TRUE
WOA,30-4-6-a100-i3.json,30,4,6,100,3,WOA,7660,无,无,299.082,,TRUE
