算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,目标值,下界,Gap,迭代次数,总求解时间(s),主问题时间(s),子问题阶段1时间(s),子问题阶段2时间(s),拒绝订单个数
LBBD1_BCH.py,30-3-6-a0.1-i1.json,30,3,6,0.1,1,6754,5846,0.134438851,537,1800.377,0.382,349.245,70.293,22
LBBD1_BCH.py,30-3-6-a0.1-i2.json,30,3,6,0.1,2,6899,6287,0.088708508,626,1800.707,0.423,332.512,82.157,21
LBBD1_BCH.py,30-3-6-a0.1-i3.json,30,3,6,0.1,3,6009,5305,0.117157597,589,1805.906,0.414,541.005,77.493,21
LBBD1_BCH.py,30-3-6-a1-i1.json,30,3,6,1,1,6596,5834.25,0.115486659,466,1800.326,0.307,486.918,62.136,22
LBBD1_BCH.py,30-3-6-a1-i2.json,30,3,6,1,2,6663,6284,0.056881285,615,1801.012,0.465,367.328,83.135,20
LBBD1_BCH.py,30-3-6-a1-i3.json,30,3,6,1,3,6003,5299,0.117274696,663,1800.136,0.49,411.605,86.465,21
LBBD1_BCH.py,30-3-6-a10-i1.json,30,3,6,10,1,6046,5818,0.037710883,533,1802.885,0.365,417.332,78.153,16
LBBD1_BCH.py,30-3-6-a10-i2.json,30,3,6,10,2,6213,6213,4.68E-15,61,79.693,0.035,29.907,10.635,14
LBBD1_BCH.py,30-3-6-a10-i3.json,30,3,6,10,3,5226,5226,0,10,7.187,0.006,1.87,1.302,15
LBBD1_BCH.py,30-3-6-a100-i1.json,30,3,6,100,1,5747,5747,4.59E-15,4,1.45,0.003,0.383,0.318,12
LBBD1_BCH.py,30-3-6-a100-i2.json,30,3,6,100,2,6141,6141,4.44E-15,4,1.356,0.002,0.362,0.322,13
LBBD1_BCH.py,30-3-6-a100-i3.json,30,3,6,100,3,5218,5218,4.01E-15,4,1.39,0.001,0.384,0.3,14
LBBD1_BCH.py,30-3-7-a0.1-i1.json,30,3,7,0.1,1,6270,5380,0.141945774,700,1800.753,0.528,316.204,95.139,21
LBBD1_BCH.py,30-3-7-a0.1-i2.json,30,3,7,0.1,2,6312,6097.5,0.03398289,757,1800.932,0.602,277.615,102.923,18
LBBD1_BCH.py,30-3-7-a0.1-i3.json,30,3,7,0.1,3,6253,5037,0.194466656,658,1801.506,0.51,312.726,86.926,23
LBBD1_BCH.py,30-3-7-a1-i1.json,30,3,7,1,1,6444,5420,0.158907511,598,1803.765,0.487,352.205,78.668,22
LBBD1_BCH.py,30-3-7-a1-i2.json,30,3,7,1,2,6703,6089,0.091600776,668,1800.123,0.542,245.146,89.9,22
LBBD1_BCH.py,30-3-7-a1-i3.json,30,3,7,1,3,6242,5013,0.196892022,551,1800.859,0.365,413.468,74.054,22
LBBD1_BCH.py,30-3-7-a10-i1.json,30,3,7,10,1,5436,5436,0,303,427.74,0.195,106.078,49.131,15
LBBD1_BCH.py,30-3-7-a10-i2.json,30,3,7,10,2,6043,6043,0,68,61.218,0.046,17.181,11.725,12
