算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,目标值,下界,Gap,迭代次数,总求解时间(s),主问题时间(s),子问题阶段1时间(s),子问题阶段2时间(s),拒绝订单个数
LBBD1.py,30-3-6-a0.1-i1.json,30,3,6,0.1,1,6849,5942,0.132428092,266,1805.386,1144.377,180.015,480.569,22
LBBD1.py,30-3-6-a0.1-i2.json,30,3,6,0.1,2,7048,6370,0.096197503,237,1808.813,1506.395,93.581,208.434,23
LBBD1.py,30-3-6-a0.1-i3.json,30,3,6,0.1,3,6138,5398,0.120560443,307,1801.006,1321.799,201.313,277.428,20
LBBD1.py,30-3-6-a1-i1.json,30,3,6,1,1,6737,5933,0.119340953,236,1808.04,1114.985,192.333,500.302,23
LBBD1.py,30-3-6-a1-i2.json,30,3,6,1,2,6732,6346,0.057338087,243,1810.636,1459.273,118.832,231.991,21
LBBD1.py,30-3-6-a1-i3.json,30,3,6,1,3,6106,5408,0.11431379,259,1805.016,1367.7,160.367,276.454,21
LBBD1.py,30-3-6-a10-i1.json,30,3,6,10,1,6063,5900,0.026884381,288,1805.161,1154.264,211.802,438.563,16
LBBD1.py,30-3-6-a10-i2.json,30,3,6,10,2,6213,6213,0,40,89.733,46.035,25.673,17.721,14
LBBD1.py,30-3-6-a10-i3.json,30,3,6,10,3,5226,5226,0,6,7.383,3.162,2.18,1.603,15
LBBD1.py,30-3-6-a100-i1.json,30,3,6,100,1,5747,5747,0,1,1.075,0.418,0.347,0,12
LBBD1.py,30-3-6-a100-i2.json,30,3,6,100,2,6141,6141,0,1,1.128,0.438,0.376,0,13
LBBD1.py,30-3-6-a100-i3.json,30,3,6,100,3,5218,5218,0,1,1.062,0.41,0.329,0,14
LBBD1.py,30-3-7-a0.1-i1.json,30,3,7,0.1,1,6281,5527,0.120044579,189,1815.744,1567.167,70.531,177.496,22
LBBD1.py,30-3-7-a0.1-i2.json,30,3,7,0.1,2,6517,6223,0.045112782,183,1807.584,1599.333,63.857,143.967,20
LBBD1.py,30-3-7-a0.1-i3.json,30,3,7,0.1,3,6267,5165,0.175841711,181,1814.291,1512.142,97.59,204.148,23
LBBD1.py,30-3-7-a1-i1.json,30,3,7,1,1,6574,5564,0.153635534,146,1812.908,1606.104,53.461,152.825,24
LBBD1.py,30-3-7-a1-i2.json,30,3,7,1,2,6969,6237,0.105036591,173,1822.082,1583.639,61.374,176.538,23
LBBD1.py,30-3-7-a1-i3.json,30,3,7,1,3,6575,5163,0.214752852,202,1813.03,1490.672,104.863,217.074,23
LBBD1.py,30-3-7-a10-i1.json,30,3,7,10,1,5436,5436,0,155,539.918,438.104,51.637,49.809,15
LBBD1.py,30-3-7-a10-i2.json,30,3,7,10,2,6043,6043,0,27,36.003,21.628,7.22,6.861,12
LBBD1.py,30-3-7-a10-i3.json,30,3,7,10,3,5626,5128,0.088517597,261,1808.86,1450.708,153.628,204.123,17
LBBD1.py,30-3-7-a100-i1.json,30,3,7,100,1,5184,5184,0,1,0.861,0.33,0.267,0,14
