算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,目标值,下界,Gap,迭代次数,总求解时间(s),主问题时间(s),子问题阶段1时间(s),子问题阶段2时间(s),拒绝订单个数
LBBD3-BCH.py,30-3-6-a0.1-i1.json,30,3,6,0.1,1,6736,5868,0.128859857,649,1800.966,0.202,409.327,125.27,22
LBBD3-BCH.py,30-3-6-a0.1-i2.json,30,3,6,0.1,2,6655,6321.695557,0.050083312,828,1801.391,0.207,319.077,147.05,21
LBBD3-BCH.py,30-3-6-a0.1-i3.json,30,3,6,0.1,3,6027,5292,0.12195122,920,1800.958,0.218,470.282,158.647,20
LBBD3-BCH.py,30-3-6-a1-i1.json,30,3,6,1,1,6596,5884,0.107944209,806,1801.206,0.202,372.929,139.219,22
LBBD3-BCH.py,30-3-6-a1-i2.json,30,3,6,1,2,6642,6314,0.049382716,907,1800.646,0.219,377.644,158.011,20
LBBD3-BCH.py,30-3-6-a1-i3.json,30,3,6,1,3,5856,5305.714286,0.093969555,710,1801.138,0.219,458.285,137.568,21
LBBD3-BCH.py,30-3-6-a10-i1.json,30,3,6,10,1,6086,5824,0.043049622,647,1801.162,0.187,474.33,134.178,17
LBBD3-BCH.py,30-3-6-a10-i2.json,30,3,6,10,2,6213,6213,0,66,88.666,0.019,34.154,15.193,14
LBBD3-BCH.py,30-3-6-a10-i3.json,30,3,6,10,3,5226,5226,0,21,23.231,0.006,9.046,4.075,15
LBBD3-BCH.py,30-3-6-a100-i1.json,30,3,6,100,1,5747,5747,0,8,3.157,0.003,1.504,1.384,12
LBBD3-BCH.py,30-3-6-a100-i2.json,30,3,6,100,2,6141,6141,0,9,3.121,0.002,1.395,1.268,13
LBBD3-BCH.py,30-3-6-a100-i3.json,30,3,6,100,3,5218,5218,0,5,2.028,0.001,0.981,0.785,14
LBBD3-BCH.py,30-3-7-a0.1-i1.json,30,3,7,0.1,1,6151,5412,0.120143066,772,1800.44,0.25,303.547,152.385,21
LBBD3-BCH.py,30-3-7-a0.1-i2.json,30,3,7,0.1,2,6359,6120.11236,0.037566856,848,1800.588,0.255,319.122,164.739,18
LBBD3-BCH.py,30-3-7-a0.1-i3.json,30,3,7,0.1,3,6267,5046.25,0.194790171,635,1800.559,0.215,388.037,122.575,23
LBBD3-BCH.py,30-3-7-a1-i1.json,30,3,7,1,1,6403,5435,0.151179135,729,1800.387,0.235,265.016,144.184,23
LBBD3-BCH.py,30-3-7-a1-i2.json,30,3,7,1,2,6657,6137.5,0.078038155,704,1800.379,0.238,256.594,149.353,21
LBBD3-BCH.py,30-3-7-a1-i3.json,30,3,7,1,3,6333,5030.5,0.205668719,650,1800.731,0.19,367.133,122.091,24
LBBD3-BCH.py,30-3-7-a10-i1.json,30,3,7,10,1,5436,5436,0,282,329.827,0.068,101.396,56.325,15
LBBD3-BCH.py,30-3-7-a10-i2.json,30,3,7,10,2,6043,6043,0,46,39.649,0.01,11.14,9.209,12
LBBD3-BCH.py,30-3-7-a10-i3.json,30,3,7,10,3,5489,5044,0.081071233,706,1801.027,0.213,496.408,143.06,17
LBBD3-BCH.py,30-3-7-a100-i1.json,30,3,7,100,1,5184,5184,0,5,2.048,0.001,0.921,0.853,14
LBBD3-BCH.py,30-3-7-a100-i2.json,30,3,7,100,2,5944,5944,0,5,2.076,0.003,0.962,0.867,14
LBBD3-BCH.py,30-3-7-a100-i3.json,30,3,7,100,3,4827,4827,0,6,1.57,0.002,0.688,0.621,13
LBBD3-BCH.py,30-3-8-a0.1-i1.json,30,3,8,0.1,1,6012,5719,0.048735862,419,1800.119,0.152,770.785,86.415,17
LBBD3-BCH.py,30-3-8-a0.1-i2.json,30,3,8,0.1,2,6973,6231.25,0.106374588,773,1801.543,0.273,328.256,148.663,22
LBBD3-BCH.py,30-3-8-a0.1-i3.json,30,3,8,0.1,3,5883,5294.5,0.100033996,291,1807.881,0.091,912.082,56.577,19
LBBD3-BCH.py,30-3-8-a1-i1.json,30,3,8,1,1,6424,5739,0.106631382,399,1814.517,0.132,680.382,81.535,21
LBBD3-BCH.py,30-3-8-a1-i2.json,30,3,8,1,2,7033,6228,0.114460401,612,1801.345,0.213,368.824,130.672,22
LBBD3-BCH.py,30-3-8-a1-i3.json,30,3,8,1,3,5903,5297,0.102659665,403,1839.943,0.156,756.592,91.886,20
LBBD3-BCH.py,30-3-8-a10-i1.json,30,3,8,10,1,5704,5704,0,56,171.98,0.026,88.357,15.536,13
LBBD3-BCH.py,30-3-8-a10-i2.json,30,3,8,10,2,6203,6203,0,327,571.07,0.124,173.15,83.886,15
LBBD3-BCH.py,30-3-8-a10-i3.json,30,3,8,10,3,5276,5276,0,36,313.233,0.014,123.741,11.863,16
LBBD3-BCH.py,30-3-8-a100-i1.json,30,3,8,100,1,5627,5627,0,6,23.921,0.003,9.244,14.337,12
LBBD3-BCH.py,30-3-8-a100-i2.json,30,3,8,100,2,6037,6037,0,6,22.945,0.002,5.386,17.258,15
LBBD3-BCH.py,30-3-8-a100-i3.json,30,3,8,100,3,5197,5197,0,5,270.375,0,60.602,60.63,15
LBBD3-BCH.py,30-4-6-a0.1-i1.json,30,4,6,0.1,1,5770,5643,0.022010399,772,1800.259,0.327,362.083,225.112,17
LBBD3-BCH.py,30-4-6-a0.1-i2.json,30,4,6,0.1,2,7223,6486.6,0.101952097,621,1802.547,0.227,263.847,161.603,19
LBBD3-BCH.py,30-4-6-a0.1-i3.json,30,4,6,0.1,3,5543,4748,0.143424139,716,1800.575,0.273,303.356,186.606,21
