instance,Pc,Pm,N_pop,Rs,objective,time,status
30-3-6-a0.1-i1.json,0.3,0.05,30,0.2,6844.0,299.0107889175415,success
30-3-6-a0.1-i1.json,0.3,0.05,50,0.3,7960.0,299.123872756958,success
30-3-6-a0.1-i1.json,0.3,0.05,80,0.4,7960.0,299.50518560409546,success
30-3-6-a0.1-i1.json,0.3,0.1,30,0.3,7014.0,299.00385332107544,success
30-3-6-a0.1-i1.json,0.3,0.1,50,0.4,7960.0,299.3973481655121,success
30-3-6-a0.1-i1.json,0.3,0.1,80,0.2,7960.0,299.0396337509155,success
30-3-6-a0.1-i1.json,0.3,0.2,30,0.4,7030.0,299.014288187027,success
30-3-6-a0.1-i1.json,0.3,0.2,50,0.2,7739.0,299.1624879837036,success
30-3-6-a0.1-i1.json,0.3,0.2,80,0.3,7730.0,299.78708815574646,success
30-3-6-a0.1-i1.json,0.5,0.05,30,0.4,6926.0,299.0253977775574,success
30-3-6-a0.1-i1.json,0.5,0.05,50,0.2,7743.0,299.43606090545654,success
30-3-6-a0.1-i1.json,0.5,0.05,80,0.3,7933.0,299.31359934806824,success
30-3-6-a0.1-i1.json,0.5,0.1,30,0.2,7146.0,299.025785446167,success
30-3-6-a0.1-i1.json,0.5,0.1,50,0.3,7960.0,299.8049969673157,success
30-3-6-a0.1-i1.json,0.5,0.1,80,0.4,7960.0,299.44391679763794,success
30-3-6-a0.1-i1.json,0.5,0.2,30,0.3,7686.0,299.01079630851746,success
30-3-6-a0.1-i1.json,0.5,0.2,50,0.4,7821.0,299.04479360580444,success
30-3-6-a0.1-i1.json,0.5,0.2,80,0.2,7960.0,299.9393129348755,success
30-3-6-a0.1-i1.json,0.7,0.05,30,0.3,6725.0,299.0179331302643,success
30-3-6-a0.1-i1.json,0.7,0.05,50,0.4,7373.0,299.8175163269043,success
30-3-6-a0.1-i1.json,0.7,0.05,80,0.2,7759.0,299.8544239997864,success
30-3-6-a0.1-i1.json,0.7,0.1,30,0.4,7032.0,299.0232660770416,success
30-3-6-a0.1-i1.json,0.7,0.1,50,0.2,7518.0,299.0337746143341,success
30-3-6-a0.1-i1.json,0.7,0.1,80,0.3,7960.0,299.98147773742676,success
30-3-6-a0.1-i1.json,0.7,0.2,30,0.2,7537.0,299.0295078754425,success
30-3-6-a0.1-i1.json,0.7,0.2,50,0.3,7960.0,299.1871976852417,success
30-3-6-a0.1-i1.json,0.7,0.2,80,0.4,7960.0,299.9333779811859,success
30-3-7-a10-i1.json,0.3,0.05,30,0.2,5548.0,299.0037934780121,success
30-3-7-a10-i1.json,0.3,0.05,50,0.3,6002.0,299.0217580795288,success
30-3-7-a10-i1.json,0.3,0.05,80,0.4,6642.0,299.02748823165894,success
30-3-7-a10-i1.json,0.3,0.1,30,0.3,5950.0,299.0245954990387,success
30-3-7-a10-i1.json,0.3,0.1,50,0.4,5882.0,299.0214648246765,success
30-3-7-a10-i1.json,0.3,0.1,80,0.2,7727.0,299.00868916511536,success
30-3-7-a10-i1.json,0.3,0.2,30,0.4,6470.0,299.0233087539673,success
30-3-7-a10-i1.json,0.3,0.2,50,0.2,6900.0,299.01501178741455,success
