instance,c1,c2,W,N_pop,objective,time,status
30-3-6-a0.1-i1.json,0.5,0.5,0.5,30,7960.0,299.593138217926,success
30-3-6-a0.1-i1.json,0.5,0.5,0.75,50,7960.0,299.59042596817017,success
30-3-6-a0.1-i1.json,0.5,0.5,1.0,80,7960.0,299.38405299186707,success
30-3-6-a0.1-i1.json,0.5,1.0,0.5,50,7960.0,299.8287515640259,success
30-3-6-a0.1-i1.json,0.5,1.0,0.75,80,7960.0,299.46411085128784,success
30-3-6-a0.1-i1.json,0.5,1.0,1.0,30,7413.0,300.0001609325409,success
30-3-6-a0.1-i1.json,0.5,2.0,0.5,80,7960.0,299.1024706363678,success
30-3-6-a0.1-i1.json,0.5,2.0,0.75,30,7413.0,300.00029706954956,success
30-3-6-a0.1-i1.json,0.5,2.0,1.0,50,7960.0,299.38588190078735,success
30-3-6-a0.1-i1.json,1.0,0.5,0.5,80,7960.0,299.0551962852478,success
30-3-6-a0.1-i1.json,1.0,0.5,0.75,30,7465.0,299.0122377872467,success
30-3-6-a0.1-i1.json,1.0,0.5,1.0,50,7960.0,299.62082743644714,success
30-3-6-a0.1-i1.json,1.0,1.0,0.5,30,7600.0,300.00025844573975,success
30-3-6-a0.1-i1.json,1.0,1.0,0.75,50,7960.0,299.60837960243225,success
30-3-6-a0.1-i1.json,1.0,1.0,1.0,80,7960.0,299.91654086112976,success
30-3-6-a0.1-i1.json,1.0,2.0,0.5,50,7960.0,299.8670074939728,success
30-3-6-a0.1-i1.json,1.0,2.0,0.75,80,7960.0,299.73037338256836,success
30-3-6-a0.1-i1.json,1.0,2.0,1.0,30,7413.0,300.00032782554626,success
30-3-6-a0.1-i1.json,2.0,0.5,0.5,50,7960.0,299.44657158851624,success
30-3-6-a0.1-i1.json,2.0,0.5,0.75,80,7960.0,299.42797923088074,success
30-3-6-a0.1-i1.json,2.0,0.5,1.0,30,7362.0,299.0000660419464,success
30-3-6-a0.1-i1.json,2.0,1.0,0.5,80,7960.0,299.2861297130585,success
30-3-6-a0.1-i1.json,2.0,1.0,0.75,30,7064.0,300.00086188316345,success
30-3-6-a0.1-i1.json,2.0,1.0,1.0,50,7960.0,299.49833250045776,success
30-3-6-a0.1-i1.json,2.0,2.0,0.5,30,7248.0,300.00097608566284,success
30-3-6-a0.1-i1.json,2.0,2.0,0.75,50,7960.0,299.75620770454407,success
