instance,O,P,Q,l_max,objective,time,status
30-3-6-a0.1-i1.json,0,0,0,2,7310.0,299.0164749622345,success
30-3-6-a0.1-i1.json,0,0,0,5,7225.0,299.0277941226959,success
30-3-6-a0.1-i1.json,0,0,0,8,7267.0,299.01153230667114,success
30-3-6-a0.1-i1.json,0,0,1,2,7310.0,299.00650691986084,success
30-3-6-a0.1-i1.json,0,0,1,5,7225.0,299.012197971344,success
30-3-6-a0.1-i1.json,0,0,1,8,7267.0,299.0118839740753,success
30-3-6-a0.1-i1.json,1,0,0,2,2007787.0,299.97445154190063,success
30-3-6-a0.1-i1.json,1,0,0,5,2007492.0,299.0115430355072,success
30-3-6-a0.1-i1.json,1,0,0,8,2007264.0,299.08337688446045,success
30-3-6-a0.1-i1.json,1,0,1,2,2007787.0,299.5447154045105,success
30-3-6-a0.1-i1.json,1,0,1,5,2007492.0,299.2590436935425,success
30-3-6-a0.1-i1.json,1,0,1,8,2007264.0,299.0097825527191,success
30-3-7-a10-i1.json,0,0,0,2,6874.0,299.0306761264801,success
30-3-7-a10-i1.json,0,0,0,5,6792.0,299.0075545310974,success
30-3-7-a10-i1.json,0,0,0,8,6776.0,299.023464679718,success
30-3-7-a10-i1.json,0,0,1,2,6874.0,299.0287034511566,success
30-3-7-a10-i1.json,0,0,1,5,6792.0,299.02394437789917,success
30-3-7-a10-i1.json,0,0,1,8,6776.0,299.0037512779236,success
30-3-7-a10-i1.json,1,0,0,2,7473.0,299.01245880126953,success
30-3-7-a10-i1.json,1,0,0,5,7369.0,299.01661920547485,success
30-3-7-a10-i1.json,1,0,0,8,7369.0,299.0060751438141,success
30-3-7-a10-i1.json,1,0,1,2,7473.0,299.0069773197174,success
30-3-7-a10-i1.json,1,0,1,5,7369.0,299.0169129371643,success
30-3-7-a10-i1.json,1,0,1,8,7369.0,299.00407004356384,success
30-3-8-a1-i1.json,0,0,0,2,7275.0,299.0165128707886,success
30-3-8-a1-i1.json,0,0,0,5,7186.0,299.0039904117584,success
30-3-8-a1-i1.json,0,0,0,8,7172.0,299.0191180706024,success
30-3-8-a1-i1.json,0,0,1,2,7275.0,299.02310848236084,success
30-3-8-a1-i1.json,0,0,1,5,7186.0,299.02004051208496,success
30-3-8-a1-i1.json,0,0,1,8,7172.0,299.02832794189453,success
30-3-8-a1-i1.json,1,0,0,2,2007757.0,299.038232088089,success
30-3-8-a1-i1.json,1,0,0,5,2008167.0,299.3623306751251,success
30-3-8-a1-i1.json,1,0,0,8,2006939.0,299.30293011665344,success
30-3-8-a1-i1.json,1,0,1,2,2007757.0,299.02826833724976,success
30-3-8-a1-i1.json,1,0,1,5,2008167.0,299.46998476982117,success
30-3-8-a1-i1.json,1,0,1,8,2006939.0,299.0021426677704,success
30-4-6-a0.1-i3.json,0,0,0,2,6752.0,299.0031785964966,success
30-4-6-a0.1-i3.json,0,0,0,5,6756.0,299.01018810272217,success
30-4-6-a0.1-i3.json,0,0,0,8,6581.0,299.01914405822754,success
30-4-6-a0.1-i3.json,0,0,1,2,6752.0,299.0114691257477,success
30-4-6-a0.1-i3.json,0,0,1,5,6756.0,299.0205888748169,success
30-4-6-a0.1-i3.json,0,0,1,8,6581.0,299.0183072090149,success
30-4-6-a0.1-i3.json,1,0,0,2,2006206.0,299.98714804649353,success
30-4-6-a0.1-i3.json,1,0,0,5,2006206.0,299.0261697769165,success
30-4-6-a0.1-i3.json,1,0,0,8,1007828.0,299.3467950820923,success
30-4-6-a0.1-i3.json,1,0,1,2,2006206.0,299.3950107097626,success
30-4-6-a0.1-i3.json,1,0,1,5,2006206.0,299.01449251174927,success
30-4-6-a0.1-i3.json,1,0,1,8,1007828.0,299.56847620010376,success
30-4-7-a0.1-i3.json,0,0,0,2,6468.0,299.0319058895111,success
30-4-7-a0.1-i3.json,0,0,0,5,6509.0,299.01701045036316,success
30-4-7-a0.1-i3.json,0,0,0,8,6483.0,299.0097563266754,success
30-4-7-a0.1-i3.json,0,0,1,2,6509.0,299.017924785614,success
30-4-7-a0.1-i3.json,0,0,1,5,6509.0,299.01911664009094,success
30-4-7-a0.1-i3.json,0,0,1,8,6483.0,299.02416348457336,success
30-4-7-a0.1-i3.json,1,0,0,2,1006046.0,299.0279743671417,success
30-4-7-a0.1-i3.json,1,0,0,5,1006046.0,299.0255854129791,success
30-4-7-a0.1-i3.json,1,0,0,8,1006046.0,299.0217778682709,success
30-4-7-a0.1-i3.json,1,0,1,2,1006046.0,299.01665449142456,success
30-4-7-a0.1-i3.json,1,0,1,5,1006046.0,299.0257616043091,success
30-4-7-a0.1-i3.json,1,0,1,8,1006046.0,299.0098807811737,success
30-4-8-a100-i1.json,0,0,0,2,6911.0,299.0262928009033,success
30-4-8-a100-i1.json,0,0,0,5,6674.0,299.0275092124939,success
30-4-8-a100-i1.json,0,0,0,8,6911.0,299.0271692276001,success
30-4-8-a100-i1.json,0,0,1,2,6911.0,299.0069773197174,success
30-4-8-a100-i1.json,0,0,1,5,6674.0,299.01310992240906,success
30-4-8-a100-i1.json,0,0,1,8,6911.0,299.0031349658966,success
30-4-8-a100-i1.json,1,0,0,2,5225.0,299.02514386177063,success
30-4-8-a100-i1.json,1,0,0,5,5225.0,299.0241057872772,success
30-4-8-a100-i1.json,1,0,0,8,5225.0,299.0047013759613,success
30-4-8-a100-i1.json,1,0,1,2,5225.0,299.0321865081787,success
30-4-8-a100-i1.json,1,0,1,5,5225.0,299.01238203048706,success
30-4-8-a100-i1.json,1,0,1,8,5225.0,299.0078237056732,success
30-5-6-a0.1-i1.json,0,0,0,2,7256.0,299.0118918418884,success
30-5-6-a0.1-i1.json,0,0,0,5,7101.0,299.02222776412964,success
30-5-6-a0.1-i1.json,0,0,0,8,7277.0,299.02005410194397,success
30-5-6-a0.1-i1.json,0,0,1,2,7256.0,299.01264548301697,success
30-5-6-a0.1-i1.json,0,0,1,5,7101.0,299.0117824077606,success
30-5-6-a0.1-i1.json,0,0,1,8,7277.0,299.0236940383911,success
30-5-6-a0.1-i1.json,1,0,0,2,2006676.0,299.0119376182556,success
30-5-6-a0.1-i1.json,1,0,0,5,2007786.0,299.0314075946808,success
30-5-6-a0.1-i1.json,1,0,0,8,2007273.0,299.0135974884033,success
30-5-6-a0.1-i1.json,1,0,1,2,2006676.0,299.0150508880615,success
30-5-6-a0.1-i1.json,1,0,1,5,2007786.0,299.02090072631836,success
30-5-6-a0.1-i1.json,1,0,1,8,2007273.0,299.0068426132202,success
30-5-7-a1-i1.json,0,0,0,2,7083.0,299.0151755809784,success
30-5-7-a1-i1.json,0,0,0,5,7021.0,299.008172750473,success
30-5-7-a1-i1.json,0,0,0,8,7207.0,299.0131058692932,success
30-5-7-a1-i1.json,0,0,1,2,7083.0,299.0049102306366,success
30-5-7-a1-i1.json,0,0,1,5,7021.0,299.01573157310486,success
30-5-7-a1-i1.json,0,0,1,8,7207.0,299.02299427986145,success
30-5-7-a1-i1.json,1,0,0,2,2007454.0,299.1045217514038,success
30-5-7-a1-i1.json,1,0,0,5,1008574.0,299.42911863327026,success
30-5-7-a1-i1.json,1,0,0,8,2007454.0,299.0213146209717,success
30-5-7-a1-i1.json,1,0,1,2,2007454.0,299.0088891983032,success
30-5-7-a1-i1.json,1,0,1,5,1008574.0,299.0798532962799,success
30-5-7-a1-i1.json,1,0,1,8,2007454.0,299.037478685379,success
30-5-8-a0.1-i3.json,0,0,0,2,6663.0,300.7117762565613,success
30-5-8-a0.1-i3.json,0,0,0,5,6230.0,299.0254416465759,success
30-5-8-a0.1-i3.json,0,0,0,8,6502.0,299.00666904449463,success
30-5-8-a0.1-i3.json,0,0,1,2,6663.0,299.0086588859558,success
30-5-8-a0.1-i3.json,0,0,1,5,6670.0,299.0110466480255,success
30-5-8-a0.1-i3.json,0,0,1,8,6502.0,299.0283558368683,success
30-5-8-a0.1-i3.json,1,0,0,2,1007523.0,299.0348708629608,success
30-5-8-a0.1-i3.json,1,0,0,5,1006998.0,299.0229024887085,success
30-5-8-a0.1-i3.json,1,0,0,8,1006493.0,299.00879096984863,success
30-5-8-a0.1-i3.json,1,0,1,2,1007523.0,299.00275135040283,success
30-5-8-a0.1-i3.json,1,0,1,5,1006998.0,299.02631998062134,success
30-5-8-a0.1-i3.json,1,0,1,8,1006493.0,299.0203080177307,success
50-3-6-a1-i3.json,0,0,0,2,12285.0,299.0586643218994,success
50-3-6-a1-i3.json,0,0,0,5,12447.0,299.0187404155731,success
50-3-6-a1-i3.json,0,0,0,8,12646.0,299.00827741622925,success
50-3-6-a1-i3.json,0,0,1,2,12285.0,299.00995898246765,success
50-3-6-a1-i3.json,0,0,1,5,12447.0,299.0191626548767,success
