instance,N_whale,a_decay,b,objective,time,status
30-3-6-a0.1-i1.json,30,linear,1.0,7960.0,299.1127233505249,success
30-3-6-a0.1-i1.json,30,linear,1.5,7837.0,299.1221158504486,success
30-3-6-a0.1-i1.json,30,sqrt,1.0,7837.0,299.71881437301636,success
30-3-6-a0.1-i1.json,30,sqrt,1.5,7837.0,299.72261214256287,success
30-3-6-a0.1-i1.json,50,linear,1.0,7960.0,299.65696907043457,success
30-3-6-a0.1-i1.json,50,linear,1.5,7960.0,299.4958794116974,success
30-3-6-a0.1-i1.json,50,sqrt,1.0,7960.0,299.6400592327118,success
30-3-6-a0.1-i1.json,50,sqrt,1.5,7960.0,299.8714654445648,success
30-3-6-a0.1-i1.json,80,linear,1.0,7960.0,299.2797620296478,success
30-3-6-a0.1-i1.json,80,linear,1.5,7960.0,299.5304787158966,success
30-3-6-a0.1-i1.json,80,sqrt,1.0,7960.0,299.0423185825348,success
30-3-6-a0.1-i1.json,80,sqrt,1.5,7960.0,299.45035696029663,success
30-3-7-a10-i1.json,30,linear,1.0,7397.0,299.0330309867859,success
30-3-7-a10-i1.json,30,linear,1.5,7369.0,299.0402338504791,success
30-3-7-a10-i1.json,30,sqrt,1.0,7301.0,299.221960067749,success
30-3-7-a10-i1.json,30,sqrt,1.5,7462.0,299.6133141517639,success
30-3-7-a10-i1.json,50,linear,1.0,7289.0,299.02712297439575,success
30-3-7-a10-i1.json,50,linear,1.5,7378.0,299.00386595726013,success
30-3-7-a10-i1.json,50,sqrt,1.0,7431.0,299.0204212665558,success
30-3-7-a10-i1.json,50,sqrt,1.5,7213.0,299.52517008781433,success
30-3-7-a10-i1.json,80,linear,1.0,7448.0,299.7312924861908,success
30-3-7-a10-i1.json,80,linear,1.5,7479.0,299.78202652931213,success
30-3-7-a10-i1.json,80,sqrt,1.0,7213.0,299.03196692466736,success
30-3-7-a10-i1.json,80,sqrt,1.5,7564.0,299.14857935905457,success
30-3-8-a1-i1.json,30,linear,1.0,7960.0,299.14443707466125,success
30-3-8-a1-i1.json,30,linear,1.5,7960.0,299.6565384864807,success
30-3-8-a1-i1.json,30,sqrt,1.0,7960.0,299.8231518268585,success
30-3-8-a1-i1.json,30,sqrt,1.5,7718.0,299.9334571361542,success
30-3-8-a1-i1.json,50,linear,1.0,7960.0,299.7967233657837,success
30-3-8-a1-i1.json,50,linear,1.5,7960.0,299.6645550727844,success
30-3-8-a1-i1.json,50,sqrt,1.0,7960.0,299.11243295669556,success
30-3-8-a1-i1.json,50,sqrt,1.5,7960.0,299.01494240760803,success
30-3-8-a1-i1.json,80,linear,1.0,7960.0,299.07892990112305,success
30-3-8-a1-i1.json,80,linear,1.5,7960.0,299.8726809024811,success
30-3-8-a1-i1.json,80,sqrt,1.0,7960.0,299.9784824848175,success
30-3-8-a1-i1.json,80,sqrt,1.5,7960.0,299.20317578315735,success
30-4-6-a0.1-i3.json,30,linear,1.0,7190.0,299.0092706680298,success
30-4-6-a0.1-i3.json,30,linear,1.5,7344.0,299.798956155777,success
30-4-6-a0.1-i3.json,30,sqrt,1.0,7018.0,299.03506875038147,success
30-4-6-a0.1-i3.json,30,sqrt,1.5,7101.0,299.0250964164734,success
30-4-6-a0.1-i3.json,50,linear,1.0,7344.0,299.08720779418945,success
30-4-6-a0.1-i3.json,50,linear,1.5,7338.0,300.00359869003296,success
30-4-6-a0.1-i3.json,50,sqrt,1.0,7435.0,299.03311920166016,success
30-4-6-a0.1-i3.json,50,sqrt,1.5,7344.0,299.02820563316345,success
30-4-6-a0.1-i3.json,80,linear,1.0,7478.0,299.3936131000519,success
30-4-6-a0.1-i3.json,80,linear,1.5,7417.0,299.1320867538452,success
30-4-6-a0.1-i3.json,80,sqrt,1.0,7435.0,299.27906489372253,success
30-4-6-a0.1-i3.json,80,sqrt,1.5,7061.0,299.4641373157501,success
30-4-7-a0.1-i3.json,30,linear,1.0,7453.0,299.4049050807953,success
30-4-7-a0.1-i3.json,30,linear,1.5,7350.0,299.0400040149689,success
30-4-7-a0.1-i3.json,30,sqrt,1.0,7091.0,299.0324959754944,success
30-4-7-a0.1-i3.json,30,sqrt,1.5,7660.0,299.2912242412567,success
30-4-7-a0.1-i3.json,50,linear,1.0,7593.0,299.15238761901855,success
30-4-7-a0.1-i3.json,50,linear,1.5,7660.0,299.8843421936035,success
30-4-7-a0.1-i3.json,50,sqrt,1.0,7660.0,299.7853264808655,success
30-4-7-a0.1-i3.json,50,sqrt,1.5,7300.0,299.0365221500397,success
30-4-7-a0.1-i3.json,80,linear,1.0,7631.0,299.87013936042786,success
30-4-7-a0.1-i3.json,80,linear,1.5,7660.0,299.2928035259247,success
30-4-7-a0.1-i3.json,80,sqrt,1.0,7660.0,299.5498323440552,success
30-4-7-a0.1-i3.json,80,sqrt,1.5,7660.0,299.28879261016846,success
30-4-8-a100-i1.json,30,linear,1.0,7870.0,299.7502830028534,success
30-4-8-a100-i1.json,30,linear,1.5,7870.0,300.04938983917236,success
30-4-8-a100-i1.json,30,sqrt,1.0,7930.0,299.10865807533264,success
30-4-8-a100-i1.json,30,sqrt,1.5,7930.0,299.4080467224121,success
30-4-8-a100-i1.json,50,linear,1.0,7930.0,299.50617003440857,success
30-4-8-a100-i1.json,50,linear,1.5,7930.0,300.0688850879669,success
30-4-8-a100-i1.json,50,sqrt,1.0,7930.0,299.547465801239,success
30-4-8-a100-i1.json,50,sqrt,1.5,7930.0,299.9398994445801,success
30-4-8-a100-i1.json,80,linear,1.0,7930.0,299.6479630470276,success
30-4-8-a100-i1.json,80,linear,1.5,7930.0,299.48553442955017,success
30-4-8-a100-i1.json,80,sqrt,1.0,7448.0,299.3357753753662,success
30-4-8-a100-i1.json,80,sqrt,1.5,7365.0,299.1246168613434,success
30-5-6-a0.1-i1.json,30,linear,1.0,7839.0,299.23446555347648,success
30-5-6-a0.1-i1.json,30,linear,1.5,7791.0,299.03027749061584,success
30-5-6-a0.1-i1.json,30,sqrt,1.0,7718.0,299.00485014915466,success
30-5-6-a0.1-i1.json,30,sqrt,1.5,7748.0,299.0430166721344,success
30-5-6-a0.1-i1.json,50,linear,1.0,7783.0,299.0328357219696,success
30-5-6-a0.1-i1.json,50,linear,1.5,7791.0,299.48030495643616,success
30-5-6-a0.1-i1.json,50,sqrt,1.0,7783.0,299.0318841934204,success
30-5-6-a0.1-i1.json,50,sqrt,1.5,7623.0,299.15362548828125,success
30-5-6-a0.1-i1.json,80,linear,1.0,7990.0,299.2982358932495,success
30-5-6-a0.1-i1.json,80,linear,1.5,7990.0,299.1212592124939,success
30-5-6-a0.1-i1.json,80,sqrt,1.0,7783.0,299.7325711250305,success
30-5-6-a0.1-i1.json,80,sqrt,1.5,7783.0,299.7292990684509,success
30-5-7-a1-i1.json,30,linear,1.0,7728.0,299.4349296092987,success
