算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,状态,目标值,下界,Gap,总求解时间(s),日志路径
MIBS,5-2-3-a0.1-i1.json,5,2,3,0.1,1,TerminationCondition.optimal,1200.0,1200.0,0.0,16.583,batch_test_results_custom/logs/mibs_5-2-3-a0.1-i1.json.log
MIBS,5-2-3-a0.1-i2.json,5,2,3,0.1,2,TerminationCondition.optimal,1146.0,1146.0,0.0,0.61,batch_test_results_custom/logs/mibs_5-2-3-a0.1-i2.json.log
MIBS,5-2-3-a0.1-i3.json,5,2,3,0.1,3,TerminationCondition.optimal,1214.0,1214.0,0.0,0.663,batch_test_results_custom/logs/mibs_5-2-3-a0.1-i3.json.log
MIBS,5-2-3-a1-i1.json,5,2,3,1.0,1,TerminationCondition.optimal,1200.0,1200.0,0.0,15.676,batch_test_results_custom/logs/mibs_5-2-3-a1-i1.json.log
MIBS,5-2-3-a1-i2.json,5,2,3,1.0,2,TerminationCondition.optimal,1173.0,1173.0,0.0,0.647,batch_test_results_custom/logs/mibs_5-2-3-a1-i2.json.log
MIBS,5-2-3-a1-i3.json,5,2,3,1.0,3,TerminationCondition.optimal,1206.0,1206.0,0.0,0.424,batch_test_results_custom/logs/mibs_5-2-3-a1-i3.json.log
MIBS,5-2-3-a10-i1.json,5,2,3,10.0,1,TerminationCondition.optimal,1122.0,1122.0,0.0,0.591,batch_test_results_custom/logs/mibs_5-2-3-a10-i1.json.log
MIBS,5-2-3-a10-i2.json,5,2,3,10.0,2,TerminationCondition.optimal,1151.0,1151.0,0.0,0.506,batch_test_results_custom/logs/mibs_5-2-3-a10-i2.json.log
MIBS,5-2-3-a10-i3.json,5,2,3,10.0,3,TerminationCondition.optimal,1214.0,1214.0,0.0,0.486,batch_test_results_custom/logs/mibs_5-2-3-a10-i3.json.log
MIBS,5-2-3-a100-i1.json,5,2,3,100.0,1,TerminationCondition.optimal,1122.0,1122.0,0.0,0.534,batch_test_results_custom/logs/mibs_5-2-3-a100-i1.json.log
MIBS,5-2-3-a100-i2.json,5,2,3,100.0,2,TerminationCondition.optimal,1141.0,1141.0,0.0,0.586,batch_test_results_custom/logs/mibs_5-2-3-a100-i2.json.log
MIBS,5-2-3-a100-i3.json,5,2,3,100.0,3,TerminationCondition.optimal,1199.0,1199.0,0.0,0.573,batch_test_results_custom/logs/mibs_5-2-3-a100-i3.json.log
MIBS,5-2-4-a0.1-i1.json,5,2,4,0.1,1,TerminationCondition.optimal,1318.0,1318.0,0.0,1.251,batch_test_results_custom/logs/mibs_5-2-4-a0.1-i1.json.log
MIBS,5-2-4-a0.1-i2.json,5,2,4,0.1,2,TerminationCondition.optimal,1053.0,1053.0,0.0,1.154,batch_test_results_custom/logs/mibs_5-2-4-a0.1-i2.json.log
MIBS,5-2-4-a0.1-i3.json,5,2,4,0.1,3,TerminationCondition.optimal,1134.0,1134.0,0.0,0.533,batch_test_results_custom/logs/mibs_5-2-4-a0.1-i3.json.log
MIBS,5-2-4-a1-i1.json,5,2,4,1.0,1,TerminationCondition.optimal,1376.0,1376.0,0.0,20.585,batch_test_results_custom/logs/mibs_5-2-4-a1-i1.json.log
MIBS,5-2-4-a1-i2.json,5,2,4,1.0,2,TerminationCondition.optimal,1144.0,1144.0,0.0,1.365,batch_test_results_custom/logs/mibs_5-2-4-a1-i2.json.log
MIBS,5-2-4-a1-i3.json,5,2,4,1.0,3,TerminationCondition.optimal,1059.0,1059.0,0.0,0.594,batch_test_results_custom/logs/mibs_5-2-4-a1-i3.json.log
MIBS,5-2-4-a10-i1.json,5,2,4,10.0,1,TerminationCondition.optimal,1279.0,1279.0,0.0,0.632,batch_test_results_custom/logs/mibs_5-2-4-a10-i1.json.log
MIBS,5-2-4-a10-i2.json,5,2,4,10.0,2,TerminationCondition.optimal,1000.0,1000.0,0.0,0.596,batch_test_results_custom/logs/mibs_5-2-4-a10-i2.json.log
MIBS,5-2-4-a10-i3.json,5,2,4,10.0,3,TerminationCondition.optimal,1058.0,1058.0,0.0,0.528,batch_test_results_custom/logs/mibs_5-2-4-a10-i3.json.log
MIBS,5-2-4-a100-i1.json,5,2,4,100.0,1,TerminationCondition.optimal,1279.0,1279.0,0.0,0.522,batch_test_results_custom/logs/mibs_5-2-4-a100-i1.json.log
MIBS,5-2-4-a100-i2.json,5,2,4,100.0,2,TerminationCondition.optimal,1000.0,1000.0,0.0,0.501,batch_test_results_custom/logs/mibs_5-2-4-a100-i2.json.log
MIBS,5-2-4-a100-i3.json,5,2,4,100.0,3,TerminationCondition.optimal,1049.0,1049.0,0.0,0.571,batch_test_results_custom/logs/mibs_5-2-4-a100-i3.json.log
MIBS,5-2-5-a0.1-i1.json,5,2,5,0.1,1,TerminationCondition.optimal,1217.0,1217.0,0.0,0.513,batch_test_results_custom/logs/mibs_5-2-5-a0.1-i1.json.log
MIBS,5-2-5-a0.1-i2.json,5,2,5,0.1,2,TerminationCondition.optimal,1073.0,1073.0,0.0,0.929,batch_test_results_custom/logs/mibs_5-2-5-a0.1-i2.json.log
MIBS,5-2-5-a0.1-i3.json,5,2,5,0.1,3,TerminationCondition.optimal,1043.0,1043.0,0.0,0.576,batch_test_results_custom/logs/mibs_5-2-5-a0.1-i3.json.log
MIBS,5-2-5-a1-i1.json,5,2,5,1.0,1,TerminationCondition.optimal,1217.0,1217.0,0.0,0.505,batch_test_results_custom/logs/mibs_5-2-5-a1-i1.json.log
MIBS,5-2-5-a1-i2.json,5,2,5,1.0,2,TerminationCondition.optimal,1052.0,1052.0,0.0,0.548,batch_test_results_custom/logs/mibs_5-2-5-a1-i2.json.log
MIBS,5-2-5-a1-i3.json,5,2,5,1.0,3,TerminationCondition.optimal,1043.0,1043.0,0.0,0.512,batch_test_results_custom/logs/mibs_5-2-5-a1-i3.json.log
MIBS,5-2-5-a10-i1.json,5,2,5,10.0,1,TerminationCondition.optimal,1217.0,1217.0,0.0,0.706,batch_test_results_custom/logs/mibs_5-2-5-a10-i1.json.log
MIBS,5-2-5-a10-i2.json,5,2,5,10.0,2,TerminationCondition.optimal,1052.0,1052.0,0.0,0.53,batch_test_results_custom/logs/mibs_5-2-5-a10-i2.json.log
MIBS,5-2-5-a10-i3.json,5,2,5,10.0,3,TerminationCondition.optimal,1077.0,1077.0,0.0,1.496,batch_test_results_custom/logs/mibs_5-2-5-a10-i3.json.log
MIBS,5-2-5-a100-i1.json,5,2,5,100.0,1,TerminationCondition.optimal,1217.0,1217.0,0.0,0.493,batch_test_results_custom/logs/mibs_5-2-5-a100-i1.json.log
MIBS,5-2-5-a100-i2.json,5,2,5,100.0,2,TerminationCondition.optimal,1052.0,1052.0,0.0,0.495,batch_test_results_custom/logs/mibs_5-2-5-a100-i2.json.log
MIBS,5-2-5-a100-i3.json,5,2,5,100.0,3,TerminationCondition.optimal,1043.0,1043.0,0.0,0.598,batch_test_results_custom/logs/mibs_5-2-5-a100-i3.json.log
MIBS,5-3-3-a0.1-i1.json,5,3,3,0.1,1,TerminationCondition.optimal,796.0,796.0,0.0,0.536,batch_test_results_custom/logs/mibs_5-3-3-a0.1-i1.json.log
MIBS,5-3-3-a0.1-i2.json,5,3,3,0.1,2,TerminationCondition.optimal,1021.0,1021.0,0.0,5.642,batch_test_results_custom/logs/mibs_5-3-3-a0.1-i2.json.log
MIBS,5-3-3-a0.1-i3.json,5,3,3,0.1,3,TerminationCondition.optimal,1125.0,1125.0,0.0,9.156,batch_test_results_custom/logs/mibs_5-3-3-a0.1-i3.json.log
MIBS,5-3-3-a1-i1.json,5,3,3,1.0,1,TerminationCondition.optimal,796.0,796.0,0.0,0.811,batch_test_results_custom/logs/mibs_5-3-3-a1-i1.json.log
MIBS,5-3-3-a1-i2.json,5,3,3,1.0,2,TerminationCondition.optimal,1021.0,1021.0,0.0,4.317,batch_test_results_custom/logs/mibs_5-3-3-a1-i2.json.log
MIBS,5-3-3-a1-i3.json,5,3,3,1.0,3,TerminationCondition.optimal,1125.0,1125.0,0.0,8.704,batch_test_results_custom/logs/mibs_5-3-3-a1-i3.json.log
MIBS,5-3-3-a10-i1.json,5,3,3,10.0,1,TerminationCondition.optimal,796.0,796.0,0.0,0.579,batch_test_results_custom/logs/mibs_5-3-3-a10-i1.json.log
MIBS,5-3-3-a10-i2.json,5,3,3,10.0,2,TerminationCondition.optimal,938.0,938.0,0.0,0.6,batch_test_results_custom/logs/mibs_5-3-3-a10-i2.json.log
MIBS,5-3-3-a10-i3.json,5,3,3,10.0,3,TerminationCondition.optimal,1099.0,1099.0,0.0,0.485,batch_test_results_custom/logs/mibs_5-3-3-a10-i3.json.log
MIBS,5-3-3-a100-i1.json,5,3,3,100.0,1,TerminationCondition.optimal,796.0,796.0,0.0,0.475,batch_test_results_custom/logs/mibs_5-3-3-a100-i1.json.log
MIBS,5-3-3-a100-i2.json,5,3,3,100.0,2,TerminationCondition.optimal,938.0,938.0,0.0,0.473,batch_test_results_custom/logs/mibs_5-3-3-a100-i2.json.log
MIBS,5-3-3-a100-i3.json,5,3,3,100.0,3,TerminationCondition.optimal,1099.0,1099.0,0.0,0.578,batch_test_results_custom/logs/mibs_5-3-3-a100-i3.json.log
MIBS,5-3-4-a0.1-i1.json,5,3,4,0.1,1,TerminationCondition.optimal,871.0,871.0,0.0,0.86,batch_test_results_custom/logs/mibs_5-3-4-a0.1-i1.json.log
MIBS,5-3-4-a0.1-i2.json,5,3,4,0.1,2,TerminationCondition.optimal,1007.0,1007.0,0.0,0.904,batch_test_results_custom/logs/mibs_5-3-4-a0.1-i2.json.log
MIBS,5-3-4-a0.1-i3.json,5,3,4,0.1,3,TerminationCondition.optimal,1100.0,1100.0,0.0,0.92,batch_test_results_custom/logs/mibs_5-3-4-a0.1-i3.json.log
MIBS,5-3-4-a1-i1.json,5,3,4,1.0,1,TerminationCondition.optimal,871.0,871.0,0.0,1.136,batch_test_results_custom/logs/mibs_5-3-4-a1-i1.json.log
MIBS,5-3-4-a1-i2.json,5,3,4,1.0,2,TerminationCondition.optimal,1007.0,1007.0,0.0,0.909,batch_test_results_custom/logs/mibs_5-3-4-a1-i2.json.log
MIBS,5-3-4-a1-i3.json,5,3,4,1.0,3,TerminationCondition.optimal,1194.0,1194.0,0.0,0.846,batch_test_results_custom/logs/mibs_5-3-4-a1-i3.json.log
MIBS,5-3-4-a10-i1.json,5,3,4,10.0,1,TerminationCondition.optimal,871.0,871.0,0.0,0.693,batch_test_results_custom/logs/mibs_5-3-4-a10-i1.json.log
MIBS,5-3-4-a10-i2.json,5,3,4,10.0,2,TerminationCondition.optimal,1007.0,1007.0,0.0,0.846,batch_test_results_custom/logs/mibs_5-3-4-a10-i2.json.log
MIBS,5-3-4-a10-i3.json,5,3,4,10.0,3,TerminationCondition.optimal,1107.0,1107.0,0.0,0.861,batch_test_results_custom/logs/mibs_5-3-4-a10-i3.json.log
MIBS,5-3-4-a100-i1.json,5,3,4,100.0,1,TerminationCondition.optimal,871.0,871.0,0.0,0.633,batch_test_results_custom/logs/mibs_5-3-4-a100-i1.json.log
MIBS,5-3-4-a100-i2.json,5,3,4,100.0,2,TerminationCondition.optimal,1007.0,1007.0,0.0,0.678,batch_test_results_custom/logs/mibs_5-3-4-a100-i2.json.log
MIBS,5-3-4-a100-i3.json,5,3,4,100.0,3,TerminationCondition.optimal,1107.0,1107.0,0.0,0.825,batch_test_results_custom/logs/mibs_5-3-4-a100-i3.json.log
MIBS,5-3-5-a0.1-i1.json,5,3,5,0.1,1,TerminationCondition.optimal,930.0,930.0,0.0,1.024,batch_test_results_custom/logs/mibs_5-3-5-a0.1-i1.json.log
MIBS,5-3-5-a0.1-i2.json,5,3,5,0.1,2,TerminationCondition.optimal,1123.0,1123.0,0.0,0.758,batch_test_results_custom/logs/mibs_5-3-5-a0.1-i2.json.log
MIBS,5-3-5-a0.1-i3.json,5,3,5,0.1,3,TerminationCondition.optimal,1081.0,1081.0,0.0,1.062,batch_test_results_custom/logs/mibs_5-3-5-a0.1-i3.json.log
MIBS,5-3-5-a1-i1.json,5,3,5,1.0,1,TerminationCondition.optimal,930.0,930.0,0.0,0.643,batch_test_results_custom/logs/mibs_5-3-5-a1-i1.json.log
MIBS,5-3-5-a1-i2.json,5,3,5,1.0,2,TerminationCondition.optimal,1123.0,1123.0,0.0,0.714,batch_test_results_custom/logs/mibs_5-3-5-a1-i2.json.log
MIBS,5-3-5-a1-i3.json,5,3,5,1.0,3,TerminationCondition.optimal,1021.0,1021.0,0.0,0.74,batch_test_results_custom/logs/mibs_5-3-5-a1-i3.json.log
MIBS,5-3-5-a10-i1.json,5,3,5,10.0,1,TerminationCondition.optimal,885.0,885.0,0.0,0.599,batch_test_results_custom/logs/mibs_5-3-5-a10-i1.json.log
MIBS,5-3-5-a10-i2.json,5,3,5,10.0,2,TerminationCondition.optimal,1117.0,1117.0,0.0,0.691,batch_test_results_custom/logs/mibs_5-3-5-a10-i2.json.log
MIBS,5-3-5-a10-i3.json,5,3,5,10.0,3,TerminationCondition.optimal,1005.0,1005.0,0.0,0.71,batch_test_results_custom/logs/mibs_5-3-5-a10-i3.json.log
MIBS,5-3-5-a100-i1.json,5,3,5,100.0,1,TerminationCondition.optimal,885.0,885.0,0.0,0.611,batch_test_results_custom/logs/mibs_5-3-5-a100-i1.json.log
MIBS,5-3-5-a100-i2.json,5,3,5,100.0,2,TerminationCondition.optimal,1117.0,1117.0,0.0,0.711,batch_test_results_custom/logs/mibs_5-3-5-a100-i2.json.log
MIBS,5-3-5-a100-i3.json,5,3,5,100.0,3,TerminationCondition.optimal,1005.0,1005.0,0.0,0.785,batch_test_results_custom/logs/mibs_5-3-5-a100-i3.json.log
MIBS,5-4-3-a0.1-i1.json,5,4,3,0.1,1,TerminationCondition.optimal,838.0,838.0,0.0,0.654,batch_test_results_custom/logs/mibs_5-4-3-a0.1-i1.json.log
MIBS,5-4-3-a0.1-i2.json,5,4,3,0.1,2,TerminationCondition.optimal,998.0,998.0,0.0,2.384,batch_test_results_custom/logs/mibs_5-4-3-a0.1-i2.json.log
MIBS,5-4-3-a0.1-i3.json,5,4,3,0.1,3,TerminationCondition.optimal,1162.0,1162.0,0.0,470.557,batch_test_results_custom/logs/mibs_5-4-3-a0.1-i3.json.log
MIBS,5-4-3-a1-i1.json,5,4,3,1.0,1,TerminationCondition.optimal,838.0,838.0,0.0,0.9,batch_test_results_custom/logs/mibs_5-4-3-a1-i1.json.log
MIBS,5-4-3-a1-i2.json,5,4,3,1.0,2,TerminationCondition.optimal,949.0,949.0,0.0,0.74,batch_test_results_custom/logs/mibs_5-4-3-a1-i2.json.log
MIBS,5-4-3-a1-i3.json,5,4,3,1.0,3,TerminationCondition.optimal,1057.0,1057.0,0.0,0.53,batch_test_results_custom/logs/mibs_5-4-3-a1-i3.json.log
MIBS,5-4-3-a10-i1.json,5,4,3,10.0,1,TerminationCondition.optimal,832.0,832.0,0.0,0.627,batch_test_results_custom/logs/mibs_5-4-3-a10-i1.json.log
MIBS,5-4-3-a10-i2.json,5,4,3,10.0,2,TerminationCondition.optimal,922.0,922.0,0.0,0.694,batch_test_results_custom/logs/mibs_5-4-3-a10-i2.json.log
MIBS,5-4-3-a10-i3.json,5,4,3,10.0,3,TerminationCondition.optimal,1057.0,1057.0,0.0,0.83,batch_test_results_custom/logs/mibs_5-4-3-a10-i3.json.log
MIBS,5-4-3-a100-i1.json,5,4,3,100.0,1,TerminationCondition.optimal,832.0,832.0,0.0,0.604,batch_test_results_custom/logs/mibs_5-4-3-a100-i1.json.log
MIBS,5-4-3-a100-i2.json,5,4,3,100.0,2,TerminationCondition.optimal,922.0,922.0,0.0,0.566,batch_test_results_custom/logs/mibs_5-4-3-a100-i2.json.log
MIBS,5-4-3-a100-i3.json,5,4,3,100.0,3,TerminationCondition.optimal,1057.0,1057.0,0.0,0.555,batch_test_results_custom/logs/mibs_5-4-3-a100-i3.json.log
MIBS,5-4-4-a0.1-i1.json,5,4,4,0.1,1,TerminationCondition.optimal,798.0,798.0,0.0,0.678,batch_test_results_custom/logs/mibs_5-4-4-a0.1-i1.json.log
