算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,目标值,下界,Gap,迭代次数,总求解时间(s),主问题时间(s),子问题阶段1时间(s),子问题阶段2时间(s),拒绝订单个数
jizhongshi.py,5-2-3-a0.1-i1.json,5,2,3,0.1,1,1122.0,1122.0,0.0,1,0.078,0.001,0.073,0.0,2
jizhongshi.py,5-2-3-a0.1-i2.json,5,2,3,0.1,2,1146.0,1146.0,0.0,1,0.03,0.001,0.028,0.0,3
jizhongshi.py,5-2-3-a0.1-i3.json,5,2,3,0.1,3,1214.0,1214.0,0.0,1,0.068,0.001,0.067,0.0,3
jizhongshi.py,5-2-3-a1-i1.json,5,2,3,1.0,1,1122.0,1122.0,0.0,1,0.07,0.001,0.069,0.0,2
jizhongshi.py,5-2-3-a1-i2.json,5,2,3,1.0,2,1173.0,1173.0,0.0,2,0.12,0.002,0.062,0.055,4
jizhongshi.py,5-2-3-a1-i3.json,5,2,3,1.0,3,1206.0,1206.0,0.0,1,0.065,0.001,0.063,0.0,3
jizhongshi.py,5-2-3-a10-i1.json,5,2,3,10.0,1,1122.0,1122.0,0.0,1,0.067,0.001,0.065,0.0,2
jizhongshi.py,5-2-3-a10-i2.json,5,2,3,10.0,2,1151.0,1151.0,0.0,1,0.032,0.001,0.031,0.0,3
jizhongshi.py,5-2-3-a10-i3.json,5,2,3,10.0,3,1214.0,1214.0,0.0,1,0.062,0.001,0.06,0.0,3
jizhongshi.py,5-2-3-a100-i1.json,5,2,3,100.0,1,1122.0,1122.0,0.0,1,0.065,0.0,0.064,0.0,2
jizhongshi.py,5-2-3-a100-i2.json,5,2,3,100.0,2,1141.0,1141.0,0.0,1,0.034,0.001,0.033,0.0,3
jizhongshi.py,5-2-3-a100-i3.json,5,2,3,100.0,3,1199.0,1199.0,0.0,1,0.069,0.0,0.068,0.0,3
jizhongshi.py,5-2-4-a0.1-i1.json,5,2,4,0.1,1,1318.0,1318.0,0.0,2,0.161,0.003,0.098,0.06,2
jizhongshi.py,5-2-4-a0.1-i2.json,5,2,4,0.1,2,1053.0,1053.0,0.0,2,0.177,0.001,0.118,0.057,2
jizhongshi.py,5-2-4-a0.1-i3.json,5,2,4,0.1,3,1134.0,1134.0,0.0,2,0.117,0.001,0.057,0.057,4
jizhongshi.py,5-2-4-a1-i1.json,5,2,4,1.0,1,1318.0,1318.0,0.0,2,0.16,0.002,0.093,0.065,2
jizhongshi.py,5-2-4-a1-i2.json,5,2,4,1.0,2,1144.0,1144.0,0.0,4,0.489,0.003,0.259,0.223,3
jizhongshi.py,5-2-4-a1-i3.json,5,2,4,1.0,3,1059.0,1059.0,0.0,1,0.033,0.0,0.031,0.0,3
jizhongshi.py,5-2-4-a10-i1.json,5,2,4,10.0,1,1279.0,1279.0,0.0,1,0.031,0.001,0.029,0.0,2
