算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,目标值,下界,Gap,迭代次数,总求解时间(s),主问题时间(s),子问题阶段1时间(s),子问题阶段2时间(s),拒绝订单个数
no2.py,5-2-3-a1-i2.json,5,2,3,1,2,1173,1173,0,2,0.248,0.015,0.151,0.078,4
no2.py,5-2-3-a1-i3.json,5,2,3,1,3,1206,1206,0,1,0.159,0.003,0.151,0,3
no2.py,5-2-4-a0.1-i1.json,5,2,4,0.1,1,1318,1318,0,3,0.617,0.021,0.33,0.258,2
no2.py,5-2-4-a100-i1.json,5,2,4,100,1,1279,1279,0,1,0.103,0.009,0.088,0,2
no2.py,5-2-5-a0.1-i1.json,5,2,5,0.1,1,1217,1217,0,1,0.182,0.006,0.168,0,1
no2.py,5-2-5-a10-i1.json,5,2,5,10,1,1217,1217,0,1,0.178,0.007,0.163,0,1
no2.py,5-3-3-a1-i1.json,5,3,3,1,1,796,796,0,1,0.257,0.009,0.242,0,2
no2.py,5-3-3-a100-i2.json,5,3,3,100,2,938,938,0,1,0.185,0.008,0.17,0,1
no2.py,5-3-4-a1-i3.json,5,3,4,1,3,1194,1194,0,4,0.748,0.038,0.317,0.383,4
no2.py,5-3-4-a10-i3.json,5,3,4,10,3,1107,1107,0,1,0.109,0.01,0.088,0,3
no2.py,5-3-5-a10-i2.json,5,3,5,10,2,1117,1117,0,1,0.184,0.008,0.166,0,2
no2.py,5-3-5-a100-i2.json,5,3,5,100,2,1117,1117,0,1,0.192,0.007,0.168,0,2
no2.py,5-4-3-a10-i1.json,5,4,3,10,1,832,832,0,1,0.103,0.011,0.085,0,2
no2.py,5-4-3-a100-i1.json,5,4,3,100,1,832,832,0,1,0.115,0.01,0.097,0,2
no2.py,5-4-4-a1-i1.json,5,4,4,1,1,798,798,0,1,0.185,0.015,0.158,0,2
no2.py,5-4-4-a10-i3.json,5,4,4,10,3,1124,1124,0,1,0.26,0.011,0.239,0,1
no2.py,5-4-5-a0.1-i2.json,5,4,5,0.1,2,989,989,0,1,0.191,0.01,0.169,0,2
no2.py,5-4-5-a1-i2.json,5,4,5,1,2,989,989,0,1,0.184,0.01,0.161,0,2
no2.py,10-2-3-a10-i3.json,10,2,3,10,3,2294,2294,0,1,0.196,0.008,0.18,0,6
no2.py,10-2-3-a100-i1.json,10,2,3,100,1,2316,2316,0,1,0.133,0.012,0.108,0,5
no2.py,10-2-4-a100-i2.json,10,2,4,100,2,2007,2007,0,1,0.191,0.011,0.171,0,4
no2.py,10-2-4-a100-i3.json,10,2,4,100,3,2258,2258,0,1,0.2,0.01,0.18,0,3
no2.py,10-2-5-a1-i1.json,10,2,5,1,1,2244,2244,0,1,0.194,0.012,0.169,0,6
no2.py,10-2-5-a100-i1.json,10,2,5,100,1,2244,2244,0,1,0.213,0.013,0.184,0,6
no2.py,10-3-3-a100-i2.json,10,3,3,100,2,2153,2153,0,1,0.286,0.011,0.26,0,3
no2.py,10-3-3-a100-i3.json,10,3,3,100,3,1907,1907,0,1,0.266,0.011,0.244,0,5
no2.py,10-3-4-a10-i3.json,10,3,4,10,3,1767,1767,0,1,0.285,0.015,0.254,0,3
no2.py,10-3-4-a100-i1.json,10,3,4,100,1,2029,2029,0,1,0.2,0.015,0.168,0,4
no2.py,10-3-5-a100-i1.json,10,3,5,100,1,2083,2083,0,1,0.289,0.017,0.251,0,5
no2.py,10-3-5-a100-i2.json,10,3,5,100,2,1965,1965,0,1,0.301,0.018,0.265,0,3
no2.py,10-4-3-a0.1-i1.json,10,4,3,0.1,1,1767,1767,0,2,0.767,0.03,0.64,0.082,5
no2.py,10-4-3-a10-i1.json,10,4,3,10,1,1760,1760,0,1,0.348,0.015,0.316,0,5
no2.py,10-4-4-a10-i2.json,10,4,4,10,2,1825,1825,0,1,0.391,0.019,0.35,0,3
no2.py,10-4-4-a100-i3.json,10,4,4,100,3,1913,1913,0,1,0.3,0.019,0.26,0,5
no2.py,10-4-5-a1-i3.json,10,4,5,1,3,1846,1846,0,6,3.172,0.2,2.21,0.732,4
no2.py,10-4-5-a100-i2.json,10,4,5,100,2,1900,1900,0,1,0.334,0.022,0.284,0,4
no2.py,15-2-3-a1-i1.json,15,2,3,1,1,3040,3040,0,11,4.025,0.226,1.867,1.913,11
no2.py,15-2-3-a100-i2.json,15,2,3,100,2,2764,2764,0,1,0.21,0.015,0.182,0,6
no2.py,15-2-4-a10-i1.json,15,2,4,10,1,2538,2538,0,1,0.216,0.017,0.181,0,8
no2.py,15-2-4-a100-i3.json,15,2,4,100,3,3098,3098,0,1,0.217,0.017,0.178,0,9
no2.py,15-2-5-a10-i1.json,15,2,5,10,1,2847,2847,0,1,0.216,0.018,0.178,0,10
no2.py,15-2-5-a10-i3.json,15,2,5,10,3,3191,3191,0,1,0.216,0.019,0.177,0,7
no2.py,15-3-3-a10-i3.json,15,3,3,10,3,2995,2995,0,1,0.306,0.02,0.268,0,7
no2.py,15-3-3-a100-i3.json,15,3,3,100,3,2995,2995,0,1,0.289,0.018,0.254,0,7
no2.py,15-3-4-a10-i3.json,15,3,4,10,3,3195,3195,0,1,0.235,0.024,0.182,0,6
no2.py,15-3-4-a100-i3.json,15,3,4,100,3,3195,3195,0,1,0.249,0.029,0.186,0,6
no2.py,15-3-5-a10-i3.json,15,3,5,10,3,3133,3133,0,1,0.313,0.026,0.259,0,6
no2.py,15-3-5-a100-i1.json,15,3,5,100,1,2606,2606,0,1,0.314,0.023,0.264,0,8
no2.py,15-4-3-a10-i1.json,15,4,3,10,1,2678,2678,0,1,0.31,0.025,0.263,0,8
no2.py,15-4-3-a100-i3.json,15,4,3,100,3,3072,3072,0,1,0.371,0.022,0.326,0,3
no2.py,15-4-4-a0.1-i1.json,15,4,4,0.1,1,2228,2228,0,1,0.408,0.027,0.35,0,8
no2.py,15-4-4-a10-i1.json,15,4,4,10,1,2228,2228,0,1,0.407,0.028,0.337,0,8
no2.py,15-4-5-a10-i1.json,15,4,5,10,1,2412,2412,0,1,0.413,0.031,0.343,0,9
no2.py,15-4-5-a10-i3.json,15,4,5,10,3,3150,3150,0,1,0.365,0.037,0.283,0,3
no2.py,20-2-3-a10-i3.json,20,2,3,10,3,3986,3986,0,2,0.504,0.048,0.347,0.089,13
no2.py,20-2-3-a100-i1.json,20,2,3,100,1,3351,3351,0,1,0.211,0.02,0.175,0,13
no2.py,20-2-4-a10-i1.json,20,2,4,10,1,3483,3483,0,1,0.225,0.026,0.179,0,14
no2.py,20-2-4-a100-i1.json,20,2,4,100,1,3483,3483,0,1,0.232,0.023,0.186,0,14
no2.py,20-2-5-a10-i2.json,20,2,5,10,2,3700,3700,0,1,0.244,0.026,0.19,0,14
no2.py,20-2-5-a100-i3.json,20,2,5,100,3,3904,3904,0,1,0.251,0.029,0.195,0,12
no2.py,20-3-3-a10-i1.json,20,3,3,10,1,3041,3041,0,1,0.31,0.029,0.258,0,13
no2.py,20-3-3-a100-i2.json,20,3,3,100,2,3275,3275,0,1,0.322,0.027,0.272,0,10
no2.py,20-3-4-a10-i1.json,20,3,4,10,1,3003,3003,0,1,0.35,0.033,0.287,0,12
no2.py,20-3-4-a100-i3.json,20,3,4,100,3,3870,3870,0,1,0.335,0.032,0.272,0,12
no2.py,20-3-5-a0.1-i3.json,20,3,5,0.1,3,4167,4150,0.004079674,320,602.513,384.573,73.112,144.56,15
no2.py,20-3-5-a10-i2.json,20,3,5,10,2,3421,3421,0,59,45.233,8.099,15.644,21.409,11
no2.py,20-4-3-a0.1-i2.json,20,4,3,0.1,2,3761,3761,0,150,226.42,109.76,49.485,67.025,10
no2.py,20-4-3-a1-i2.json,20,4,3,1,2,3773,3773,0,199,349.165,193.586,67.299,88.088,9
no2.py,20-4-4-a0.1-i2.json,20,4,4,0.1,2,3644,3644,0,125,168.431,61.346,40.839,66.105,11
no2.py,20-4-4-a1-i1.json,20,4,4,1,1,3091,3091,0,1,0.418,0.041,0.335,0,14
no2.py,20-4-5-a10-i3.json,20,4,5,10,3,3364,3364,0,1,0.382,0.045,0.287,0,9
no2.py,20-4-5-a100-i3.json,20,4,5,100,3,3364,3364,0,1,0.385,0.051,0.285,0,9
no2.py,25-2-3-a10-i1.json,25,2,3,10,1,4670,4670,0,1,0.24,0.03,0.189,0,14
no2.py,25-2-3-a100-i3.json,25,2,3,100,3,4446,4446,0,1,0.224,0.027,0.177,0,19
no2.py,25-2-4-a1-i2.json,25,2,4,1,2,5896,5256,0.108548168,310,601.849,217.486,77.895,306.218,20
no2.py,25-2-4-a10-i2.json,25,2,4,10,2,5188,5188,0,79,63.442,10.744,20.136,32.48,11
no2.py,25-2-5-a0.1-i2.json,25,2,5,0.1,2,5857,5440,0.071196858,337,601.781,277.427,80.111,243.923,18
no2.py,25-2-5-a1-i1.json,25,2,5,1,1,4899,4685,0.043682384,293,602.1,279.055,60.464,262.325,19
no2.py,25-3-3-a0.1-i2.json,25,3,3,0.1,2,5495,5183,0.05677889,260,601.754,349.315,70.978,181.225,16
no2.py,25-3-3-a1-i2.json,25,3,3,1,2,5651,5200,0.079808883,220,602.152,354.141,59.41,188.399,18
no2.py,25-3-4-a0.1-i1.json,25,3,4,0.1,1,4584,4408,0.038394415,184,601.116,436.461,49.594,114.861,16
no2.py,25-3-4-a1-i2.json,25,3,4,1,2,5235,4987,0.047373448,192,602.794,392.73,62.806,147.072,17
no2.py,25-3-5-a1-i1.json,25,3,5,1,1,4697,4691,0.001277411,276,601.812,415.636,76.659,109.241,19
no2.py,25-3-5-a1-i2.json,25,3,5,1,2,5828,5396,0.074124914,207,604.616,395.065,61.883,147.461,18
no2.py,25-4-3-a0.1-i1.json,25,4,3,0.1,1,4425,4327,0.022146893,187,600.701,443.715,57.827,98.951,16
no2.py,25-4-3-a1-i1.json,25,4,3,1,1,4271,4271,0,153,308.115,195.927,48.205,63.686,16
no2.py,25-4-4-a1-i1.json,25,4,4,1,1,4606,4586,0.004342162,268,606.062,338.049,121.53,146.207,16
no2.py,25-4-4-a1-i2.json,25,4,4,1,2,5233,4716,0.098796102,129,606.468,445.955,39.215,121.019,18
no2.py,25-4-5-a0.1-i2.json,25,4,5,0.1,2,5212,4685,0.101112817,182,601.56,379.679,74.5,147.165,16
no2.py,25-4-5-a1-i1.json,25,4,5,1,1,4556,4449,0.023485514,272,601.053,369.83,98.576,132.344,17
no2.py,30-3-6-a10-i3.json,30,3,6,10,3,5226,5226,0,6,4.633,0.579,2.215,1.751,15
no2.py,30-3-6-a100-i3.json,30,3,6,100,3,5218,5218,0,1,0.465,0.073,0.316,0,14
