算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,目标值,下界,Gap,迭代次数,总求解时间(s),主问题时间(s),子问题阶段1时间(s),子问题阶段2时间(s),拒绝订单个数
noall.py,5-2-3-a1-i2.json,5,2,3,1,2,1173,1173,0,2,0.252,0.019,0.159,0.074,4
noall.py,5-2-3-a1-i3.json,5,2,3,1,3,1206,1206,0,1,0.149,0.001,0.147,0,3
noall.py,5-2-4-a0.1-i1.json,5,2,4,0.1,1,1318,1318,0,3,0.559,0.004,0.319,0.232,2
noall.py,5-2-4-a100-i1.json,5,2,4,100,1,1279,1279,0,1,0.085,0.001,0.084,0,2
noall.py,5-2-5-a0.1-i1.json,5,2,5,0.1,1,1217,1217,0,1,0.17,0.001,0.169,0,1
noall.py,5-2-5-a10-i1.json,5,2,5,10,1,1217,1217,0,1,0.163,0,0.161,0,1
noall.py,5-3-3-a1-i1.json,5,3,3,1,1,796,796,0,1,0.22,0.001,0.219,0,2
noall.py,5-3-3-a100-i2.json,5,3,3,100,2,938,938,0,1,0.153,0.001,0.15,0,1
noall.py,5-3-4-a1-i3.json,5,3,4,1,3,1194,1194,0,4,0.671,0.009,0.281,0.378,4
noall.py,5-3-4-a10-i3.json,5,3,4,10,3,1107,1107,0,1,0.08,0.001,0.079,0,3
noall.py,5-3-5-a10-i2.json,5,3,5,10,2,1117,1117,0,1,0.164,0.001,0.163,0,2
noall.py,5-3-5-a100-i2.json,5,3,5,100,2,1117,1117,0,1,0.155,0.001,0.153,0,2
noall.py,5-4-3-a10-i1.json,5,4,3,10,1,832,832,0,1,0.089,0.001,0.086,0,2
noall.py,5-4-3-a100-i1.json,5,4,3,100,1,832,832,0,1,0.083,0,0.081,0,2
noall.py,5-4-4-a1-i1.json,5,4,4,1,1,798,798,0,1,0.158,0.001,0.155,0,2
noall.py,5-4-4-a10-i3.json,5,4,4,10,3,1124,1124,0,1,0.22,0,0.219,0,1
noall.py,5-4-5-a0.1-i2.json,5,4,5,0.1,2,989,989,0,1,0.168,0.001,0.166,0,2
noall.py,5-4-5-a1-i2.json,5,4,5,1,2,989,989,0,1,0.155,0.001,0.153,0,2
noall.py,10-2-3-a10-i3.json,10,2,3,10,3,2294,2294,0,1,0.155,0.001,0.153,0,5
noall.py,10-2-3-a100-i1.json,10,2,3,100,1,2316,2316,0,1,0.09,0.001,0.087,0,5
noall.py,10-2-4-a100-i2.json,10,2,4,100,2,2007,2007,0,1,0.168,0,0.165,0,4
noall.py,10-2-4-a100-i3.json,10,2,4,100,3,2258,2258,0,1,0.165,0.001,0.164,0,3
noall.py,10-2-5-a1-i1.json,10,2,5,1,1,2244,2244,0,1,0.161,0,0.159,0,6
noall.py,10-2-5-a100-i1.json,10,2,5,100,1,2244,2244,0,1,0.164,0.001,0.162,0,6
noall.py,10-3-3-a100-i2.json,10,3,3,100,2,2153,2153,0,1,0.235,0,0.232,0,3
noall.py,10-3-3-a100-i3.json,10,3,3,100,3,1907,1907,0,1,0.24,0.001,0.238,0,5
noall.py,10-3-4-a10-i3.json,10,3,4,10,3,1767,1767,0,1,0.278,0.001,0.276,0,3
noall.py,10-3-4-a100-i1.json,10,3,4,100,1,2029,2029,0,1,0.174,0.001,0.17,0,4
noall.py,10-3-5-a100-i1.json,10,3,5,100,1,2083,2083,0,1,0.237,0.001,0.234,0,5
noall.py,10-3-5-a100-i2.json,10,3,5,100,2,1965,1965,0,1,0.248,0,0.246,0,3
